#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -6.70204    -7.45313   0.0647162
         153    -6.70863    -7.44826   0.0644759
         154    -6.71554    -7.44351   0.0642326
         155    -6.72179    -7.43885   0.0639867
         156    -6.72899     -7.4343   0.0637381
         157    -6.73583    -7.42985   0.0634872
         158    -6.74294     -7.4255   0.0632341
         159    -6.74903    -7.42125   0.0629794
         160    -6.75602    -7.41709   0.0627228
         161    -6.76262    -7.41303   0.0624648
         162    -6.76914    -7.40905   0.0622056
         163    -6.77556    -7.40517   0.0619452
         164    -6.78221    -7.40137   0.0616839
         165    -6.78844    -7.39765   0.0614218
         166    -6.79553    -7.39403   0.0611588
         167    -6.80153    -7.39048   0.0608954
         168    -6.80806    -7.38701   0.0606315
         169    -6.81382    -7.38362   0.0603675
         170    -6.81946     -7.3803   0.0601036
         171    -6.82496    -7.37705   0.0598398
         172    -6.83033    -7.37387   0.0595762
         173    -6.83556    -7.37076   0.0593131
         174    -6.84065    -7.36772   0.0590504
         175     -6.8456    -7.36473   0.0587883
         176    -6.85041    -7.36181   0.0585268
         177    -6.85475    -7.35895   0.0582662
         178    -6.85895    -7.35614   0.0580066
         179    -6.86301    -7.35338   0.0577479
         180    -6.86692    -7.35068   0.0574903
         181    -6.87102    -7.34803   0.0572337
         182    -6.87529    -7.34543   0.0569781
         183     -6.8791    -7.34288   0.0567237
         184    -6.88277    -7.34038   0.0564705
         185    -6.88662    -7.33793   0.0562185
         186    -6.88936    -7.33552    0.055968
         187    -6.89359    -7.33315   0.0557186
         188    -6.89672    -7.33083   0.0554705
         189     -6.8994    -7.32855    0.055224
         190    -6.90162     -7.3263    0.054979
         191    -6.90373    -7.32409   0.0547357
         192    -6.90636    -7.32192   0.0544938
         193     -6.9092    -7.31978   0.0542534
         194    -6.91193    -7.31767   0.0540145
         195     -6.9139     -7.3156   0.0537771
         196    -6.91577    -7.31356   0.0535415
         197    -6.91786    -7.31156   0.0533073
         198    -6.91986    -7.30958   0.0530748
         199    -6.92209    -7.30763   0.0528438
         200    -6.92358    -7.30571   0.0526145
         201    -6.92564    -7.30382   0.0523867
         202     -6.9273    -7.30196   0.0521605
         203    -6.92953    -7.30012   0.0519358
         204    -6.93137    -7.29831   0.0517126
         205    -6.93153    -7.29652   0.0514913
         206    -6.93292    -7.29476   0.0512716
         207    -6.93426    -7.29302   0.0510535
         208    -6.93554     -7.2913    0.050837
         209    -6.93646     -7.2896   0.0506221
         210    -6.93733    -7.28792   0.0504088
         211    -6.93849    -7.28627   0.0501971
         212    -6.93962    -7.28463   0.0499869
         213    -6.94104    -7.28302   0.0497783
         214    -6.94243    -7.28143   0.0495711
         215    -6.94316    -7.27985   0.0493655
         216    -6.94484     -7.2783   0.0491613
         217    -6.94682    -7.27678   0.0489585
         218    -6.94815    -7.27527   0.0487571
         219     -6.9498    -7.27378   0.0485571
         220    -6.95112    -7.27232   0.0483585
         221    -6.95179    -7.27086   0.0481615
         222    -6.95278    -7.26943   0.0479658
         223    -6.95345    -7.26801   0.0477717
         224    -6.95478    -7.26662   0.0475789
         225    -6.95579    -7.26524   0.0473875
         226    -6.95681    -7.26387   0.0471974
         227    -6.95752    -7.26252   0.0470088
         228     -6.9589    -7.26119   0.0468215
         229    -6.96061    -7.25988   0.0466354
         230     -6.9617    -7.25858   0.0464507
         231    -6.96248     -7.2573   0.0462673
         232    -6.96393    -7.25603   0.0460851
         233    -6.96541    -7.25479   0.0459042
         234    -6.96691    -7.25356   0.0457245
         235    -6.96811    -7.25234   0.0455461
         236    -6.96934    -7.25114   0.0453689
         237    -6.97093    -7.24996   0.0451928
         238    -6.97254    -7.24879    0.045018
         239    -6.97387    -7.24764   0.0448443
         240    -6.97555    -7.24651   0.0446718
         241    -6.97694    -7.24539   0.0445004
         242    -6.97837    -7.24429   0.0443302
         243    -6.98048     -7.2432   0.0441611
         244    -6.98199    -7.24213   0.0439931
         245    -6.98353    -7.24108   0.0438262
         246    -6.98576    -7.24004   0.0436603
         247    -6.98739    -7.23902   0.0434955
         248    -6.98907    -7.23801   0.0433318
         249    -6.99143    -7.23702   0.0431691
         250    -6.99288    -7.23604   0.0430075
         251    -6.99501    -7.23508   0.0428468
         252    -6.99687    -7.23414   0.0426872
         253    -6.99846     -7.2332   0.0425287
         254    -7.00042    -7.23229   0.0423711
         255    -7.00308    -7.23139   0.0422145
         256    -7.00514    -7.23051   0.0420588
         257    -7.00725    -7.22964   0.0419042
         258    -7.00909    -7.22878   0.0417505
         259    -7.01163    -7.22794   0.0415977
         260     -7.0139    -7.22712   0.0414458
         261    -7.01654    -7.22631   0.0412949
         262    -7.01924    -7.22552   0.0411448
         263     -7.0223    -7.22475   0.0409956
         264    -7.02445    -7.22399   0.0408474
         265    -7.02697    -7.22325      0.0407
         266    -7.02922    -7.22252   0.0405535
         267    -7.03249    -7.22181   0.0404079
