#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168     7.64154     4.38023    0.335035
         169     7.60947     4.39934    0.333597
         170     7.57803     4.41804    0.332158
         171     7.54723     4.43634    0.330719
         172     7.51711     4.45425    0.329281
         173     7.48766     4.47178    0.327844
         174     7.45892     4.48895    0.326409
         175     7.43089     4.50576    0.324977
         176     7.40358     4.52222    0.323547
         177      7.3777     4.53836    0.322121
         178     7.35256     4.55417    0.320699
         179     7.32816     4.56966    0.319282
         180     7.30449     4.58486    0.317869
         181     7.28086     4.59975    0.316462
         182     7.25727     4.61436     0.31506
         183     7.23512     4.62868    0.313663
         184      7.2137     4.64273    0.312273
         185     7.19231     4.65651    0.310889
         186     7.17375     4.67004    0.309512
         187     7.15237     4.68331    0.308142
         188     7.13381     4.69635    0.306778
         189     7.11664     4.70916    0.305422
         190     7.10084     4.72174    0.304074
         191      7.0857     4.73412    0.302734
         192     7.06978     4.74628    0.301401
         193     7.05379     4.75824    0.300077
         194     7.03841     4.76999     0.29876
         195     7.02502     4.78156    0.297452
         196     7.01221     4.79294    0.296152
         197     6.99923     4.80414     0.29486
         198     6.98678     4.81516    0.293577
         199     6.97414     4.82601    0.292302
         200     6.96339      4.8367    0.291036
         201     6.95169     4.84722    0.289778
         202     6.94114     4.85759    0.288529
         203     6.92959     4.86779    0.287288
         204     6.91914     4.87785    0.286056
         205     6.91259     4.88777    0.284832
         206     6.90356     4.89756    0.283618
         207     6.89485     4.90721    0.282412
         208     6.88645     4.91672    0.281214
         209     6.87904     4.92611    0.280025
         210     6.87187     4.93538    0.278845
         211     6.86424     4.94452    0.277673
         212     6.85682     4.95354     0.27651
         213     6.84888     4.96244    0.275355
         214     6.84112     4.97122    0.274208
         215     6.83492     4.97989     0.27307
         216     6.82673     4.98844    0.271939
         217     6.81794     4.99687    0.270817
         218     6.81066     5.00519    0.269702
         219     6.80275      5.0134    0.268596
         220      6.7956      5.0215    0.267497
         221     6.78991      5.0295    0.266406
         222     6.78354      5.0374    0.265323
         223     6.77788      5.0452    0.264248
         224     6.77082     5.05291    0.263181
         225     6.76444     5.06051    0.262121
         226     6.75803     5.06803    0.261069
         227     6.75229     5.07545    0.260024
         228     6.74508     5.08277    0.258987
         229      6.7371     5.08999    0.257957
         230     6.73046     5.09712    0.256934
         231     6.72444     5.10417    0.255918
         232      6.7169     5.11112    0.254909
         233     6.70927     5.11798    0.253908
         234     6.70151     5.12475    0.252913
         235     6.69434     5.13143    0.251925
         236     6.68703     5.13802    0.250943
         237     6.67888     5.14452    0.249969
         238     6.67057     5.15093    0.249001
         239     6.66281     5.15726    0.248039
         240     6.65418     5.16349    0.247084
         241     6.64608     5.16965    0.246135
         242     6.63779     5.17571    0.245193
         243     6.62789     5.18169    0.244257
         244     6.61921     5.18758    0.243327
         245     6.61032     5.19339    0.242403
         246     6.59981      5.1991    0.241485
         247     6.59048     5.20474    0.240573
         248     6.58093     5.21029    0.239667
         249     6.56972     5.21575    0.238767
         250      6.5604     5.22113    0.237872
         251     6.54941     5.22642    0.236983
         252     6.53887     5.23163      0.2361
         253     6.52878     5.23675    0.235222
         254     6.51771      5.2418     0.23435
         255     6.50497     5.24675    0.233484
         256     6.49337     5.25162    0.232623
         257     6.48149      5.2564    0.231767
         258     6.47004     5.26111    0.230916
         259      6.4569     5.26573    0.230071
         260     6.44418     5.27026     0.22923
         261     6.43048      5.2747    0.228395
         262      6.4165     5.27906    0.227565
         263     6.40153     5.28333     0.22674
         264     6.38841     5.28751     0.22592
         265      6.3743     5.29162    0.225104
         266     6.36062     5.29563    0.224294
         267     6.34456     5.29956    0.223488
         268     6.32893      5.3034    0.222687
         269     6.31375     5.30716    0.221891
         270     6.29831     5.31083      0.2211
         271     6.28122     5.31441    0.220313
         272      6.2653     5.31791    0.219531
         273     6.24986     5.32132    0.218753
         274     6.23419     5.32465     0.21798
         275     6.21759      5.3279    0.217211
         276     6.20009     5.33106    0.216447
         277     6.18239     5.33413    0.215688
         278     6.16521     5.33712    0.214933
         279     6.14715     5.34003    0.214182
         280     6.12893     5.34284    0.213436
         281     6.11056     5.34558    0.212694
         282     6.09276     5.34823    0.211956
         283     6.07343     5.35079    0.211222
         284      6.0554     5.35327    0.210493
         285     6.03868     5.35567    0.209768
         286     6.01975       5.358    0.209048
         287     6.00216     5.36024    0.208331
         288     5.98451     5.36241    0.207619
         289     5.96611      5.3645    0.206911
         290     5.94556      5.3665    0.206208
         291     5.92851     5.36843    0.205508
         292     5.91146     5.37029    0.204813
         293      5.8923     5.37207    0.204121
         294     5.87316     5.37378    0.203434
         295     5.85617     5.37541    0.202751
         296     5.83781     5.37698    0.202072
         297     5.81951     5.37847    0.201397
         298      5.8027     5.37989    0.200727
         299     5.78314     5.38124     0.20006
         300      5.7665     5.38252    0.199397
         301     5.74855     5.38374    0.198738
         302     5.73143     5.38489    0.198084
         303     5.71374     5.38597    0.197433
         304      5.6969       5.387    0.196786
         305     5.68162     5.38796    0.196143
         306      5.6651     5.38887    0.195504
         307     5.64734     5.38971    0.194869
         308     5.63119     5.39049    0.194238
         309     5.61382     5.39122    0.193611
         310     5.59736     5.39188    0.192987
         311     5.58113     5.39249    0.192368
         312     5.56442     5.39304    0.191752
         313     5.54935     5.39354     0.19114
         314     5.53453     5.39399    0.190532
         315     5.51996     5.39439    0.189927
         316     5.50566     5.39474    0.189327
         317     5.49163     5.39505     0.18873
         318     5.47506      5.3953    0.188136
         319     5.46089     5.39551    0.187547
         320     5.44631     5.39566    0.186961
         321     5.43275     5.39578    0.186378
         322     5.41879     5.39585      0.1858
         323     5.40585     5.39588    0.185224
         324     5.39324     5.39587    0.184653
         325     5.38025     5.39583    0.184084
         326       5.369     5.39574     0.18352
         327      5.3581     5.39563    0.182959
         328     5.34683     5.39548    0.182401
         329     5.33663      5.3953    0.181847
         330     5.32607     5.39509    0.181296
         331     5.31517     5.39485    0.180748
         332     5.30745     5.39459    0.180204
         333     5.29798      5.3943    0.179663
         334      5.2903     5.39398    0.179125
         335     5.28087     5.39365    0.178591
         336     5.27253     5.39329     0.17806
         337     5.26386      5.3929    0.177532
         338     5.25769      5.3925    0.177007
         339     5.25049     5.39208    0.176485
         340     5.24509     5.39165    0.175967
         341     5.24077     5.39121    0.175451
         342     5.23542     5.39075    0.174939
         343     5.22904     5.39028     0.17443
         344     5.22445      5.3898    0.173923
         345     5.22095     5.38931     0.17342
         346       5.215     5.38881    0.172919
         347     5.21084     5.38829    0.172422
         348     5.20775     5.38777    0.171927
         349     5.20221     5.38724    0.171435
         350     5.19844      5.3867    0.170946
         351     5.19716     5.38616     0.17046
         352     5.19271     5.38561    0.169977
         353     5.19143     5.38506    0.169496
         354     5.18911     5.38451    0.169018
         355     5.18713     5.38395    0.168543
         356      5.1862      5.3834     0.16807
         357     5.18561     5.38285    0.167601
         358     5.18536     5.38229    0.167133
         359     5.18473     5.38174    0.166669
         360     5.18653      5.3812    0.166207
         361     5.18653     5.38066    0.165747
         362     5.18755     5.38013     0.16529
         363     5.18816      5.3796    0.164836
         364     5.19048     5.37908    0.164383
         365     5.19238     5.37857    0.163934
         366     5.19526     5.37807    0.163487
         367     5.19771     5.37758    0.163042
         368     5.19972     5.37709      0.1626
         369     5.20269     5.37662     0.16216
         370     5.20662     5.37616    0.161722
         371      5.2101     5.37571    0.161287
         372     5.21451     5.37528    0.160854
         373     5.21846     5.37486    0.160423
         374     5.22262     5.37445    0.159995
         375     5.22629     5.37406    0.159569
         376     5.22876     5.37367    0.159145
         377     5.23426      5.3733    0.158723
         378     5.23995     5.37295    0.158303
         379     5.24513     5.37261    0.157886
         380      5.2526     5.37229    0.157471
         381     5.25743     5.37199    0.157058
         382     5.26384     5.37171    0.156647
         383      5.2697     5.37144    0.156238
         384     5.27713      5.3712    0.155832
         385     5.28258     5.37097    0.155427
         386     5.28889     5.37076    0.155024
         387     5.29534     5.37056    0.154624
         388     5.30192     5.37038    0.154226
         389     5.31145     5.37023    0.153829
         390     5.31827      5.3701    0.153435
         391      5.3238     5.36998    0.153042
         392     5.33226     5.36988    0.152652
         393      5.3387     5.36981    0.152264
         394     5.34524     5.36974    0.151877
         395     5.35328      5.3697    0.151493
         396        5.36     5.36968     0.15111
         397     5.36821     5.36967     0.15073
         398     5.37508     5.36969    0.150351
         399     5.38132     5.36972    0.149974
         400     5.39044     5.36977    0.149599
         401     5.39821     5.36984    0.149226
         402     5.40745     5.36993    0.148855
         403     5.41532     5.37004    0.148486
         404     5.42183     5.37017    0.148118
         405     5.42837     5.37032    0.147752
         406     5.43637     5.37048    0.147389
         407      5.4451     5.37066    0.147027
         408     5.45173     5.37086    0.146666
         409     5.45909     5.37108    0.146308
         410     5.46645     5.37131    0.145951
         411     5.47454     5.37156    0.145596
         412     5.48334     5.37183    0.145243
         413     5.49143     5.37212    0.144892
         414     5.49951     5.37243    0.144542
         415     5.50618     5.37275    0.144194
         416     5.51283     5.37309    0.143848
         417     5.52088     5.37344    0.143503
         418      5.5282     5.37381    0.143161
         419     5.53548      5.3742    0.142819
         420     5.54344      5.3746     0.14248
         421     5.55207     5.37502    0.142142
         422     5.56065     5.37546    0.141806
         423     5.56778     5.37592    0.141472
         424     5.57767     5.37639    0.141139
         425     5.58609     5.37689    0.140807
         426     5.59515      5.3774    0.140478
         427     5.60484     5.37793     0.14015
         428     5.61234     5.37848    0.139823
         429     5.62047     5.37904    0.139499
         430     5.62709     5.37962    0.139175
         431     5.63433     5.38021    0.138854
         432     5.64005     5.38081    0.138534
         433     5.64708     5.38143    0.138215
         434      5.6533     5.38205    0.137898
         435     5.66082      5.3827    0.137583
         436     5.66822     5.38335    0.137269
         437     5.67408     5.38402    0.136956
         438     5.68122     5.38469    0.136645
         439     5.68751     5.38538    0.136336
         440     5.69225     5.38608    0.136027
         441     5.69896     5.38679    0.135721
         442      5.7034     5.38751    0.135416
         443     5.70838     5.38823    0.135112
         444      5.7132     5.38896     0.13481
         445     5.71714      5.3897    0.134509
         446     5.72161     5.39044    0.134209
         447     5.72589      5.3912    0.133911
