#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.24162     2.24162           0
           2     2.24103     2.24132 0.000208597
           3     2.21811     2.23359  0.00631985
           4     2.08924      2.1975   0.0316104
           5     2.24967     2.20793   0.0269558
           6     2.13985     2.19659   0.0247369
           7     2.16387     2.19191   0.0216402
           8     2.16554     2.18862   0.0191845
           9       2.195     2.18932    0.017066
          10     2.23095     2.19349   0.0158588
          11     2.11293     2.18616   0.0160188
          12     2.12373     2.18096   0.0155059
          13     2.12407     2.17658   0.0149179
          14     2.21508     2.17933   0.0141035
          15     2.17274     2.17889   0.0131701
          16     2.23612     2.18247   0.0128235
          17     2.24242       2.186   0.0125446
          18     2.21269     2.18748    0.011935
          19     2.18593      2.1874   0.0113071
          20     2.16337      2.1862   0.0108054
          21     2.16255     2.18507   0.0103493
          22     2.12572     2.18237   0.0102245
          23     2.12801     2.18001   0.0100494
          24     2.29079     2.18463   0.0106382
          25     2.15824     2.18357   0.0102649
          26     2.15922     2.18263  0.00991269
          27     2.24115      2.1848   0.0097796
          28     2.16077     2.18394  0.00946793
          29     2.23328     2.18564  0.00929304
          30     2.18342     2.18557  0.00898357
