#     BLOCK:   ACCEPTANCE:
           1    0.440194
           2     0.43999
           3    0.440336
           4    0.441511
           5    0.441512
           6    0.440935
           7    0.440501
           8    0.440696
           9    0.440478
          10    0.440712
          11     0.44073
          12    0.440763
          13     0.44054
          14    0.440332
          15    0.440374
          16    0.440492
          17    0.440446
          18    0.440491
          19    0.440508
          20    0.440584
          21      0.4405
          22    0.440464
          23    0.440398
          24    0.440338
          25    0.440378
          26    0.440374
          27    0.440437
          28    0.440434
          29    0.440477
          30     0.44046
