#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.270723    0.270723           0
           2    0.272945    0.271834   0.0007856
           3    0.265099    0.269589  0.00190633
           4    0.276327    0.271274  0.00204265
           5    0.278068    0.272632  0.00203652
           6    0.268935    0.272016  0.00178789
           7    0.266996    0.271299  0.00167015
           8    0.270418    0.271189    0.001465
           9    0.265107    0.270513  0.00144972
          10    0.269038    0.270366  0.00131223
          11    0.273793    0.270677  0.00122937
          12    0.268036    0.270457  0.00114645
          13    0.268134    0.270278   0.0010721
          14    0.271981      0.2704   0.0010024
          15    0.266547    0.270143 0.000967928
          16    0.273517    0.270354 0.000930113
          17    0.265676    0.270079 0.000915197
          18    0.270819     0.27012 0.000865276
          19    0.267862    0.270001 0.000827855
          20    0.269841    0.269993 0.000786501
          21    0.274913    0.270227 0.000783169
          22    0.271043    0.270264 0.000748447
          23    0.280063     0.27069 0.000828333
          24    0.271489    0.270724 0.000794487
          25    0.267237    0.270584 0.000774851
          26    0.272862    0.270672 0.000749983
          27    0.278139    0.270948  0.00077152
          28    0.273052    0.271024 0.000747616
          29    0.270515    0.271006 0.000722042
          30    0.269281    0.270949  0.00070026
