#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.050496    0.050496           0
           2    0.052552    0.051524 0.000726906
           3    0.036484   0.0465107  0.00412196
           4    0.041904    0.045359  0.00324837
           5    0.041204    0.044528   0.0027029
           6    0.050076   0.0454527  0.00240539
           7    0.042284       0.045  0.00210392
           8    0.058428   0.0466785  0.00241955
           9    0.046092   0.0466133  0.00215159
          10    0.044992   0.0464512  0.00194253
          11    0.030112   0.0449658  0.00226369
          12     0.03846   0.0444237  0.00213899
          13    0.042336   0.0442631  0.00198047
          14    0.054244    0.044976  0.00196314
          15     0.04944   0.0452736  0.00185468
          16    0.033116   0.0445137  0.00188801
          17    0.029068   0.0436052  0.00198356
          18    0.045352   0.0437022  0.00187573
          19    0.048148   0.0439362  0.00179155
          20    0.037828   0.0436308   0.0017278
          21    0.044968   0.0436945   0.0016467
          22     0.03512   0.0433047  0.00161732
          23    0.032672   0.0428424  0.00161172
          24    0.046004   0.0429742  0.00154994
          25    0.039532   0.0428365  0.00149404
          26    0.042016   0.0428049  0.00143691
          27    0.036336   0.0425653  0.00140352
          28    0.030848   0.0421469  0.00141441
          29    0.046944   0.0423123  0.00137528
          30    0.036872   0.0421309  0.00134134
