#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.674692    0.674692           0
           2    0.667164    0.670928  0.00266155
           3     0.29832    0.546725    0.101427
           4    0.584504     0.55617   0.0765084
           5     0.65914    0.576764   0.0639183
           6     0.62666     0.58508   0.0538035
           7    0.544064    0.579221   0.0464353
           8     0.61228    0.583353   0.0408143
           9    0.551196     0.57978   0.0364355
          10    0.605924    0.582394   0.0328856
          11    0.788152      0.6011   0.0348116
          12    0.654408    0.605542   0.0321928
          13    0.658596    0.609623    0.029974
          14    0.686628    0.615123   0.0283332
          15    0.643396    0.617008   0.0265069
          16      0.7496    0.625295   0.0261135
          17    0.708104    0.630166   0.0250276
          18    0.785908    0.638819   0.0250883
          19     0.67756    0.640858   0.0238506
          20    0.755604    0.646595   0.0233379
          21    0.709148    0.649574   0.0224159
          22    0.551352    0.645109    0.021837
          23    0.644412    0.645079   0.0208876
          24    0.732692    0.648729   0.0203338
          25    0.632816    0.648093   0.0195304
          26    0.654888    0.648354    0.018781
          27    0.584996    0.646008   0.0182314
          28    0.695992    0.647793   0.0176675
          29    0.681216    0.648945   0.0170958
          30    0.661992     0.64938   0.0165315
