#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.452258    0.452258           0
           2    0.423559    0.437909   0.0101469
           3    0.429306    0.435041   0.0071583
           4    0.404868    0.427498  0.00845573
           5    0.412538    0.424506  0.00727471
           6    0.487964    0.435082   0.0114004
           7    0.446729    0.436746   0.0098924
           8    0.390332    0.430944   0.0102165
           9    0.407919    0.428386  0.00939619
          10    0.417576    0.427305  0.00851852
          11    0.472388    0.431403  0.00867417
          12    0.395271    0.428392   0.0084578
          13    0.441432    0.429395  0.00786645
          14     0.37405    0.425442  0.00823824
          15     0.43521    0.426093  0.00771471
          16    0.381652    0.423316  0.00771638
          17    0.450772    0.424931  0.00742958
          18    0.409284    0.424062  0.00706749
          19    0.425904    0.424158  0.00669619
          20    0.421115    0.424006  0.00636311
          21    0.419581    0.423796  0.00606359
          22     0.44622    0.424815  0.00587302
          23    0.461232    0.426398   0.0058272
          24    0.432294    0.426644  0.00558957
          25    0.413218    0.426107  0.00539173
          26    0.408132    0.425416  0.00522849
          27    0.426844    0.425468  0.00503511
          28    0.418813    0.425231  0.00486089
          29    0.460566    0.426449  0.00484358
          30     0.38875    0.425193   0.0048424
