#     BLOCK:   ACCEPTANCE:
           1     0.05098
           2    0.050625
           3   0.0529267
           4    0.052837
           5    0.052984
           6   0.0526787
           7   0.0530106
           8   0.0525077
           9   0.0521447
          10   0.0517318
          11   0.0511042
          12   0.0505772
          13   0.0507208
          14   0.0504824
          15   0.0505225
          16   0.0501726
          17   0.0498701
          18   0.0493488
          19   0.0492803
          20   0.0486761
          21    0.048419
          22   0.0486837
          23   0.0487583
          24   0.0487436
          25    0.048877
          26   0.0489819
          27   0.0493047
          28   0.0493646
          29   0.0493612
          30   0.0495225
