#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     48.9113     48.9113           0
           2     49.9739     49.4426    0.375686
           3     50.3273     49.7375    0.347423
           4     40.8889     47.5254     1.93343
           5     39.0215     45.8246     2.16945
           6     39.6659     44.7981     2.03628
           7     37.2824     43.7245      2.0086
           8     40.9092     43.3726     1.78808
           9     42.9533      43.326     1.59001
          10     42.4546     43.2388      1.4334
          11     45.7392     43.4661     1.32099
          12     45.5246     43.6377     1.22199
          13     43.3338     43.6143     1.12822
          14     39.8497     43.3454      1.0792
          15     47.3698     43.6137     1.04007
          16     37.6678     43.2421     1.03934
          17     46.2578     43.4195    0.993222
          18     46.2018      43.574    0.949995
          19     50.6302     43.9454    0.969872
          20      45.133     44.0048    0.923195
          21     40.9921     43.8613     0.89031
          22     39.5946     43.6674    0.870708
          23     48.1719     43.8632    0.854593
          24      45.035     43.9121    0.820379
          25     43.5468     43.8975    0.787694
          26      47.493     44.0357    0.769442
          27     43.2664     44.0073    0.741471
          28     42.2781     43.9455    0.717557
          29     40.5755     43.8293    0.702161
          30     41.9459     43.7665    0.681556
