#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.939384   -0.939384           0
           2   -0.941256    -0.94032 0.000661852
           3   -0.943328   -0.941323 0.000930008
           4   -0.932296   -0.939066  0.00207507
           5   -0.928312   -0.936915  0.00254097
           6    -0.92676   -0.935223  0.00262125
           7   -0.924256   -0.933656  0.00267429
           8   -0.930576   -0.933271  0.00236756
           9   -0.934264   -0.933381  0.00210706
          10   -0.934272    -0.93347  0.00189824
          11   -0.935608   -0.933665  0.00173559
          12    -0.93764   -0.933996  0.00162227
          13   -0.931024   -0.933767   0.0015135
          14   -0.931312   -0.933592  0.00141552
          15   -0.936432   -0.933781  0.00133375
          16   -0.929136   -0.933491   0.0012816
          17    -0.93672   -0.933681  0.00122021
          18   -0.937952   -0.933918  0.00117526
          19   -0.943208   -0.934407  0.00121085
          20   -0.935808   -0.934477  0.00115233
          21   -0.930784   -0.934301   0.0011108
          22    -0.92788   -0.934009  0.00109798
          23   -0.936992   -0.934139  0.00105787
          24   -0.935752   -0.934206  0.00101593
          25   -0.934736   -0.934228 0.000975513
          26   -0.940104   -0.934454 0.000963821
          27   -0.932264   -0.934372 0.000931529
          28   -0.930624   -0.934239 0.000907829
          29   -0.927616    -0.93401 0.000904791
          30    -0.93472   -0.934034 0.000874941
