#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.054156    0.054156           0
           2    0.046432    0.050294  0.00273085
           3    0.046516   0.0490347  0.00209087
           4    0.048728    0.048958  0.00156956
           5    0.046988    0.048564  0.00130416
           6    0.037688   0.0467513  0.00197971
           7    0.054236   0.0478206  0.00196454
           8    0.049928    0.048084  0.00173654
           9    0.055636   0.0489231  0.00173452
          10    0.060352    0.050066  0.00190066
          11    0.047524   0.0498349  0.00174186
          12    0.050804   0.0499157  0.00159858
          13    0.049496   0.0498834  0.00147594
          14    0.055116   0.0502571  0.00141705
          15    0.049296   0.0501931  0.00132403
          16    0.047356   0.0500157  0.00125309
          17    0.039256   0.0493828  0.00132965
          18     0.05838   0.0498827  0.00134646
          19    0.052372   0.0500137  0.00128195
          20    0.048852   0.0499556  0.00121917
          21    0.045092    0.049724  0.00118291
          22    0.064196   0.0503818  0.00129923
          23    0.047652   0.0502631  0.00124815
          24    0.052292   0.0503477  0.00119901
          25     0.04854   0.0502754  0.00115322
          26     0.05576   0.0504863    0.001128
          27    0.033004   0.0498388  0.00125841
          28    0.058452   0.0501464   0.0012505
          29    0.045716   0.0499937  0.00121667
          30    0.052652   0.0500823  0.00117934
