#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.584544   -0.584544           0
           2   -0.583696    -0.58412 0.000299813
           3   -0.582392   -0.583544 0.000511013
           4    -0.58048   -0.582778  0.00076613
           5   -0.580304   -0.582283 0.000755985
           6   -0.584752   -0.582695 0.000733465
           7   -0.585712   -0.583126  0.00074465
           8   -0.584536   -0.583302 0.000672111
           9   -0.584416   -0.583426 0.000608723
          10   -0.581392   -0.583222 0.000580833
          11   -0.582208    -0.58313   0.0005353
          12   -0.583336   -0.583147 0.000490967
          13   -0.582896   -0.583128 0.000453581
          14   -0.585424   -0.583292 0.000449855
          15   -0.582536   -0.583242 0.000422678
          16   -0.581896   -0.583158 0.000404541
          17   -0.582816   -0.583137 0.000381243
          18   -0.579648   -0.582944 0.000406371
          19      -0.585   -0.583052 0.000399137
          20     -0.5826   -0.583029 0.000379819
          21   -0.582624    -0.58301 0.000362222
          22    -0.58284   -0.583002 0.000345839
          23   -0.583696   -0.583032 0.000332116
          24   -0.582752   -0.583021 0.000318483
          25   -0.581776   -0.582971 0.000309611
          26   -0.580136   -0.582862  0.00031632
          27   -0.581936   -0.582828 0.000306457
          28   -0.584744   -0.582896 0.000303059
          29   -0.582328   -0.582876 0.000293241
          30   -0.580536   -0.582798  0.00029366
