#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.61359     2.61359           0
           2     2.49939     2.55649   0.0403767
           3     2.52631     2.54643   0.0281431
           4     2.34172     2.49525   0.0490917
           5     2.49598      2.4954   0.0392736
           6     2.54558     2.50376   0.0336066
           7     2.61229     2.51927    0.032184
           8     2.46713     2.51275   0.0288133
           9     2.60284     2.52276   0.0272952
          10     2.42116      2.5126    0.026389
          11     2.58718     2.51938   0.0248457
          12     2.61475     2.52733   0.0240128
          13     2.44623     2.52109   0.0229617
          14     2.65179     2.53042   0.0231417
          15     2.47743     2.52689   0.0218669
          16     2.58055     2.53025   0.0207558
          17     2.49487     2.52816   0.0196389
          18     2.40186     2.52115   0.0197618
          19     2.50662     2.52038   0.0187365
          20     2.67451     2.52809   0.0193196
          21     2.50219     2.52686   0.0184389
          22     2.45161     2.52344   0.0179152
          23     2.53591     2.52398   0.0171445
          24     2.53452     2.52442   0.0164358
          25     2.47504     2.52244   0.0158966
          26     2.51229     2.52205     0.01529
          27     2.48761     2.52078   0.0147768
          28     2.54843     2.52176    0.014282
          29     2.56665     2.52331   0.0138731
          30     2.45932     2.52118   0.0135737
