#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.94126     2.94126           0
           2     2.95416     2.94771  0.00455983
           3     2.99559     2.96367   0.0133819
           4     2.95361     2.96116   0.0102704
           5     2.92731     2.95439   0.0102062
           6     2.85649     2.93807   0.0171516
           7     2.98198     2.94434    0.015807
           8     2.94648     2.94461   0.0138334
           9      2.9573     2.94602   0.0123679
          10     3.07115     2.95853   0.0162736
          11     2.96698      2.9593   0.0148123
          12     3.09111     2.97029   0.0171744
          13     3.07274     2.97817   0.0175687
          14      3.1475     2.99026   0.0200496
          15      3.0137     2.99183   0.0187738
          16     3.12231     2.99998   0.0192907
          17     2.87174     2.99244   0.0195754
          18     3.06062     2.99623   0.0188508
          19     2.95593      2.9941   0.0179776
          20     2.77317     2.98306   0.0201895
          21     2.89798     2.97901   0.0196303
          22     2.99466     2.97972   0.0187509
          23     3.09318     2.98465   0.0185733
          24      2.9327     2.98249   0.0179251
          25     2.86054     2.97761   0.0178594
          26     2.83587     2.97216   0.0179853
          27     3.12535     2.97783   0.0181922
          28     2.81538     2.97203   0.0184444
          29     2.89352     2.96932   0.0180059
          30     3.07608     2.97288   0.0177539
