#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.076772    0.076772           0
           2    0.050856    0.063814  0.00916269
           3    0.058032   0.0618867  0.00630791
           4     0.07426     0.06498  0.00543675
           5    0.086304   0.0692448  0.00578516
           6    0.041376      0.0646   0.0064203
           7      0.0424   0.0614286  0.00623741
           8    0.060932   0.0613665  0.00545805
           9    0.061472   0.0613782  0.00485161
          10    0.055716    0.060812  0.00439937
          11    0.050372   0.0598629  0.00410052
          12    0.052244    0.059228  0.00380765
          13     0.06116   0.0593766  0.00351765
          14      0.0658   0.0598354  0.00329618
          15    0.086552   0.0616165  0.00352495
          16    0.055528    0.061236  0.00332512
          17     0.06756    0.061608  0.00315026
          18      0.0635   0.0617131    0.002977
          19    0.048536   0.0610196  0.00289998
          20    0.057892   0.0608632  0.00275919
          21    0.043876   0.0600543  0.00274381
          22    0.060516   0.0600753  0.00261918
          23    0.066052   0.0603351  0.00251816
          24    0.054468   0.0600907  0.00242507
          25    0.062692   0.0601947   0.0023303
          26    0.069456   0.0605509  0.00226773
          27    0.088296   0.0615785  0.00240532
          28    0.065512    0.061719  0.00232352
          29    0.051104    0.061353  0.00227204
          30     0.05402   0.0611085  0.00220942
