# BLOCK    CURRENT_AVE          ERROR     ACCEPTANCE
    177        2.66616      0.0950987        0.23191
    178        2.66399      0.0945908       0.232011
    179        2.65228      0.0947898       0.232056
    180        2.64113      0.0949219        0.23232
    181        2.64329      0.0944236       0.232802
    182        2.62554      0.0955694       0.232842
    183         2.6209      0.0951618       0.233261
    184        2.62644      0.0948079       0.232595
    185        2.63126      0.0944199       0.232473
    186        2.62923      0.0939356       0.232567
    187        2.63913      0.0939577       0.232234
    188        2.62353      0.0947512       0.232275
    189         2.6203      0.0943068       0.232632
    190         2.6179      0.0938423       0.232984
    191        2.61386      0.0934397       0.232969
    192        2.61684      0.0930021       0.233316
    193        2.60944      0.0928167       0.233711
    194        2.60864      0.0923429       0.233641
    195        2.59148      0.0934604        0.23352
    196        2.57932      0.0937766       0.233452
    197        2.57448      0.0934269       0.233232
    198         2.5819      0.0932514       0.232965
    199        2.57391      0.0931274        0.23335
    200        2.57503      0.0926697       0.233632
    201        2.58554       0.092807       0.233416
    202        2.57733      0.0927126       0.233498
    203        2.58408      0.0925029       0.233284
    204         2.5847      0.0920527       0.233463
    205         2.5903      0.0917755       0.233592
    206        2.59333      0.0913816        0.23343
    207        2.59157      0.0909584       0.233798
    208        2.59945      0.0908644       0.233301
    209        2.59698      0.0904642       0.233524
    210        2.59042      0.0902732       0.233507
    211        2.59733      0.0901112       0.233349
    212           2.59      0.0899858       0.233474
    213        2.59846      0.0899623       0.233879
    214         2.5871      0.0902602       0.233628
    215        2.57819      0.0902821       0.233704
    216        2.58158      0.0899293       0.233779
    217        2.58179       0.089516       0.233716
    218        2.58392      0.0891316       0.233699
    219        2.58537      0.0887375       0.233727
    220        2.57258      0.0892556       0.233801
    221        2.58082      0.0892334       0.234009
    222        2.58195      0.0888396       0.234215
    223        2.56138      0.0908029       0.234241
    224        2.55471      0.0906439       0.234133
    225         2.5613      0.0904825       0.234115
    226        2.54656      0.0912814       0.234097
    227        2.54094      0.0910536       0.234386
    228        2.54263      0.0906708       0.234236
    229        2.54304      0.0902767       0.233913
    230        2.54575      0.0899259       0.234156
    231        2.54795      0.0895644       0.234224
    232        2.55088      0.0892272       0.234163
    233        2.55431      0.0889114       0.234103
    234        2.56227       0.088889       0.233915
    235        2.56235      0.0885116       0.233983
    236        2.56406       0.088154       0.234093
    237        2.56239      0.0877986       0.234034
    238        2.56568      0.0874924       0.234184
    239        2.56907      0.0871929       0.234042
    240        2.57589       0.087098       0.233734
    241        2.58124       0.086902       0.233636
    242        2.57501      0.0867678       0.234198
    243        2.57223       0.086456       0.234262
    244        2.55764        0.08733       0.234245
    245        2.55939      0.0869919        0.23435
    246         2.5618      0.0866725       0.234453
    247        2.57135       0.086849       0.234315
    248        2.56234      0.0869673       0.234418
    249        2.56892       0.086868        0.23412
    250        2.57184      0.0865704       0.234382
    251        2.55649      0.0875824       0.234405
    252        2.56259      0.0874492        0.23415
    253         2.5576      0.0872475       0.234409
    254        2.55676      0.0869088       0.234784
    255        2.55789      0.0865761       0.234687
    256        2.55989      0.0862616       0.234786
    257        2.56613      0.0861529       0.234535
    258        2.56332      0.0858657       0.234595
    259        2.54789      0.0869141       0.234654
    260         2.5528      0.0867193       0.234598
    261        2.54983      0.0864386       0.234466
    262        2.55124      0.0861209       0.234411
    263        2.53839       0.086751       0.234697
    264        2.53476      0.0864992       0.234868
    265        2.53141      0.0862385       0.235188
    266        2.53409      0.0859567       0.235169
    267        2.53155       0.085673       0.235187
    268        2.53162       0.085354       0.235204
    269        2.53336      0.0850549       0.235519
    270        2.53393      0.0847425       0.235498
    271        2.53667      0.0844746       0.235735
    272        2.53489      0.0841834       0.235934
    273        2.52005      0.0851787       0.235693
    274        2.51698      0.0849238       0.235891
    275        2.50838      0.0850516       0.235978
    276        2.51392      0.0849251       0.235812
    277         2.5105      0.0846883       0.235899
    278        2.50988      0.0843866       0.235878
    279        2.51419      0.0841953       0.235821
    280         2.5108      0.0839638       0.235658
    281        2.50755      0.0837283       0.235461
    282        2.51243      0.0835742       0.235442
    283        2.51979       0.083604       0.235211
    284        2.52483      0.0834627       0.235228
    285        2.52828      0.0832419       0.234895
    286        2.52917      0.0829561       0.234878
    287        2.53032      0.0826756       0.234653
    288        2.52583      0.0825112       0.234567
    289        2.52844      0.0822676       0.234379
    290         2.5284      0.0819844        0.23433
    291        2.52682      0.0817184       0.234315
    292         2.5252      0.0814552       0.234266
    293        2.52522      0.0811777       0.234218
    294        2.52515      0.0809021       0.234373
    295        2.52486      0.0806288       0.234324
    296        2.52662      0.0803761       0.234478
    297        2.51801      0.0805669       0.234597
    298        2.51997       0.080321       0.234415
    299         2.5211      0.0800608       0.234533
    300        2.51645      0.0799296       0.234551
    301        2.52194       0.079853       0.234603
    302        2.52034       0.079605       0.234389
    303        2.52344      0.0794034       0.234211
    304        2.52502      0.0791583       0.234164
    305        2.53091       0.079119        0.23402
    306        2.52768       0.078927       0.234137
    307        2.53411       0.078932       0.233896
    308        2.53573      0.0786928       0.233883
    309        2.52959      0.0786777       0.233742
    310        2.53025      0.0784271       0.233505
    311        2.53293      0.0782212       0.233301
    312         2.5296      0.0780419       0.233323
    313         2.5339      0.0779119       0.233344
    314        2.53542      0.0776789       0.233302
    315        2.53799      0.0774754       0.233259
    316        2.53814      0.0772307       0.233028
    317        2.53354       0.077125       0.233145
    318        2.53511      0.0768988       0.233009
    319        2.53022      0.0768143          0.233
    320        2.52778      0.0766133       0.233146
    321        2.53038      0.0764191       0.233043
    322        2.52991      0.0761835       0.233003
    323        2.53345      0.0760305       0.233241
    324        2.53011      0.0758696       0.233477
    325        2.52794      0.0756678       0.233466
    326        2.53044      0.0754774       0.233609
    327        2.53317      0.0752963       0.233537
    328        2.53407      0.0750725       0.233435
    329        2.53084      0.0749142       0.233455
    330        2.53059      0.0746879       0.233807
    331        2.53249      0.0744869       0.233765
    332        2.52523      0.0746173       0.233874
    333        2.52792      0.0744422       0.233892
