Epoch	Train_loss	Train_acc	Val_loss	Val_acc
1	0.7822185158729553	0.7706500291824341	0.3117588460445404	0.9146000146865845
2	0.3898019790649414	0.8896333575248718	0.23747467994689941	0.932200014591217
3	0.3120209276676178	0.9113500118255615	0.19951242208480835	0.9419999718666077
4	0.2689700424671173	0.9243000149726868	0.17315495014190674	0.9488999843597412
5	0.2352485954761505	0.9344499707221985	0.1579851657152176	0.9535999894142151
6	0.20895513892173767	0.940416693687439	0.14376796782016754	0.9570000171661377
7	0.19140613079071045	0.9452166557312012	0.13046476244926453	0.9599999785423279
8	0.17634084820747375	0.9493333101272583	0.12309125065803528	0.9625999927520752
9	0.16248880326747894	0.9539833068847656	0.11425614356994629	0.963699996471405
10	0.15083688497543335	0.9575333595275879	0.10928935557603836	0.965499997138977
11	0.1423196941614151	0.9593833088874817	0.10251493006944656	0.967199981212616
12	0.1342582106590271	0.9618499875068665	0.09900093823671341	0.9678999781608582
13	0.12617038190364838	0.9637333154678345	0.09384749829769135	0.97079998254776
14	0.11825226992368698	0.9657166600227356	0.09107397496700287	0.9710999727249146
15	0.11003576964139938	0.9678999781608582	0.08723184466362	0.9721999764442444
16	0.10508734732866287	0.9698166847229004	0.08591476082801819	0.9721999764442444
17	0.10066816955804825	0.9713833332061768	0.08395715802907944	0.9732999801635742
18	0.09589039534330368	0.972683310508728	0.07982796430587769	0.973800003528595
19	0.09255000948905945	0.9743166565895081	0.07829666137695312	0.9747999906539917
20	0.08680590987205505	0.9747666716575623	0.07535102218389511	0.9757000207901001
21	0.0836869403719902	0.9751833081245422	0.07569003850221634	0.975600004196167
22	0.08057983219623566	0.9769166707992554	0.0737009346485138	0.9753999710083008
23	0.07727209478616714	0.9780833125114441	0.07214802503585815	0.9765999913215637
24	0.07367280125617981	0.9790833592414856	0.06983675807714462	0.9772999882698059
25	0.07011540234088898	0.9796666502952576	0.07099651545286179	0.9776999950408936
26	0.06729120016098022	0.9807166457176208	0.06929511576890945	0.9785000085830688
27	0.06529884785413742	0.981249988079071	0.07192005962133408	0.9764000177383423
28	0.06433747708797455	0.9818833470344543	0.06640970706939697	0.978600025177002
29	0.0605543814599514	0.9825000166893005	0.06559973955154419	0.9794999957084656
30	0.05669153109192848	0.9837833046913147	0.0661463588476181	0.9805999994277954
31	0.05615480989217758	0.9842000007629395	0.06508372724056244	0.9789999723434448
32	0.05347235128283501	0.9844333529472351	0.06381049752235413	0.9803000092506409
33	0.05269499868154526	0.9853500127792358	0.06528005003929138	0.9779000282287598
34	0.05152863264083862	0.9852166771888733	0.06213466823101044	0.9799000024795532
35	0.04864049330353737	0.9862666726112366	0.06215354800224304	0.9800999760627747
36	0.04793870821595192	0.9861000180244446	0.06179135665297508	0.980400025844574
37	0.04551964998245239	0.9871333241462708	0.06158366799354553	0.9807000160217285
38	0.0435529500246048	0.9877333045005798	0.06070507690310478	0.9812999963760376
39	0.04387001320719719	0.9874666929244995	0.061682116240262985	0.98089998960495
40	0.04255224019289017	0.9878000020980835	0.060522764921188354	0.9799000024795532
41	0.0408623069524765	0.9881500005722046	0.06066198647022247	0.9804999828338623
42	0.037928491830825806	0.9893333315849304	0.060704559087753296	0.9810000061988831
43	0.03798793628811836	0.9888833165168762	0.06249289587140083	0.9804999828338623
44	0.0373859778046608	0.9887499809265137	0.059751104563474655	0.9814000129699707
45	0.03452698141336441	0.9901999831199646	0.06010895222425461	0.9818999767303467
46	0.033697742968797684	0.9904333353042603	0.060723066329956055	0.9811999797821045
47	0.03349491208791733	0.9906499981880188	0.0595046766102314	0.9822999835014343
48	0.032442789524793625	0.9906166791915894	0.060098279267549515	0.9812999963760376
49	0.03193851187825203	0.9904500246047974	0.05969708412885666	0.9824000000953674
50	0.030397729948163033	0.991683304309845	0.05908982455730438	0.9818000197410583
