#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         128   -0.023322  -0.0232975 9.62762e-07
         129  -0.0233226  -0.0232977 9.74787e-07
         130  -0.0233231  -0.0232978 9.86818e-07
         131  -0.0233237   -0.023298 9.98858e-07
         132  -0.0233243  -0.0232982 1.01091e-06
         133  -0.0233251  -0.0232984 1.02332e-06
         134  -0.0233257  -0.0232987 1.03572e-06
         135  -0.0233263  -0.0232989 1.04813e-06
         136  -0.0233272  -0.0232991 1.06087e-06
         137  -0.0233278  -0.0232993  1.0736e-06
         138  -0.0233284  -0.0232995 1.08633e-06
         139   -0.023329  -0.0232997 1.09905e-06
         140  -0.0233298  -0.0232999 1.11209e-06
         141  -0.0233305  -0.0233001 1.12511e-06
         142  -0.0233311  -0.0233003 1.13812e-06
         143  -0.0233317  -0.0233006 1.15112e-06
         144  -0.0233324  -0.0233008 1.16411e-06
         145   -0.023333   -0.023301 1.17709e-06
         146  -0.0233336  -0.0233012 1.19007e-06
         147  -0.0233343  -0.0233015 1.20305e-06
         148   -0.023335  -0.0233017 1.21603e-06
         149  -0.0233356  -0.0233019 1.22901e-06
         150  -0.0233363  -0.0233021 1.24199e-06
         151   -0.023337  -0.0233024 1.25498e-06
         152  -0.0233379  -0.0233026 1.26825e-06
         153  -0.0233385  -0.0233028 1.28153e-06
         154  -0.0233392  -0.0233031  1.2948e-06
         155  -0.0233401  -0.0233033 1.30836e-06
         156  -0.0233411  -0.0233036 1.32218e-06
         157   -0.023342  -0.0233038 1.33625e-06
         158  -0.0233427   -0.023304 1.35031e-06
         159  -0.0233434  -0.0233043 1.36434e-06
         160  -0.0233441  -0.0233045 1.37835e-06
         161  -0.0233449  -0.0233048 1.39234e-06
         162  -0.0233456   -0.023305 1.40632e-06
         163  -0.0233465  -0.0233053 1.42055e-06
         164  -0.0233473  -0.0233056 1.43475e-06
         165  -0.0233485  -0.0233058 1.44945e-06
         166  -0.0233492  -0.0233061 1.46411e-06
         167    -0.02335  -0.0233063 1.47875e-06
         168  -0.0233507  -0.0233066 1.49335e-06
         169  -0.0233515  -0.0233069 1.50793e-06
         170  -0.0233522  -0.0233071 1.52249e-06
         171   -0.023353  -0.0233074 1.53703e-06
         172  -0.0233538  -0.0233077 1.55155e-06
         173  -0.0233545  -0.0233079 1.56605e-06
         174  -0.0233553  -0.0233082 1.58054e-06
         175  -0.0233561  -0.0233085 1.59502e-06
         176  -0.0233571  -0.0233088 1.60972e-06
         177  -0.0233579   -0.023309  1.6244e-06
         178  -0.0233587  -0.0233093 1.63907e-06
         179  -0.0233598  -0.0233096 1.65395e-06
         180   -0.023361  -0.0233099 1.66927e-06
         181  -0.0233621  -0.0233102 1.68477e-06
         182  -0.0233629  -0.0233105 1.70024e-06
         183   -0.023364  -0.0233108 1.71589e-06
         184  -0.0233648  -0.0233111 1.73151e-06
         185  -0.0233656  -0.0233114  1.7471e-06
         186  -0.0233665  -0.0233116 1.76266e-06
         187  -0.0233673  -0.0233119 1.77818e-06
         188  -0.0233686  -0.0233122  1.7941e-06
         189  -0.0233697  -0.0233126 1.81019e-06
         190  -0.0233708  -0.0233129 1.82645e-06
         191  -0.0233719  -0.0233132 1.84287e-06
         192  -0.0233728  -0.0233135 1.85924e-06
         193  -0.0233739  -0.0233138 1.87577e-06
         194  -0.0233748  -0.0233141 1.89225e-06
         195  -0.0233756  -0.0233144 1.90868e-06
         196  -0.0233765  -0.0233147 1.92507e-06
         197  -0.0233777  -0.0233151 1.94162e-06
         198  -0.0233786  -0.0233154 1.95812e-06
         199  -0.0233797  -0.0233157 1.97478e-06
         200  -0.0233806   -0.023316 1.99139e-06
         201  -0.0233815  -0.0233164 2.00796e-06
         202  -0.0233827  -0.0233167 2.02468e-06
         203  -0.0233838   -0.023317 2.04155e-06
         204  -0.0233848  -0.0233173 2.05837e-06
         205  -0.0233857  -0.0233177 2.07515e-06
         206  -0.0233866   -0.023318 2.09189e-06
         207  -0.0233878  -0.0233183 2.10878e-06
         208  -0.0233887  -0.0233187 2.12563e-06
         209  -0.0233899   -0.023319 2.14262e-06
         210  -0.0233909  -0.0233194 2.15957e-06
         211  -0.0233921  -0.0233197 2.17666e-06
         212  -0.0233931  -0.0233201 2.19371e-06
         213   -0.023394  -0.0233204 2.21073e-06
         214  -0.0233955  -0.0233208 2.22805e-06
         215  -0.0233967  -0.0233211 2.24551e-06
         216  -0.0233979  -0.0233215 2.26309e-06
         217  -0.0233989  -0.0233218 2.28063e-06
         218  -0.0233999  -0.0233222 2.29812e-06
         219  -0.0234009  -0.0233225 2.31557e-06
         220  -0.0234019  -0.0233229 2.33298e-06
         221  -0.0234029  -0.0233233 2.35036e-06
         222  -0.0234039  -0.0233236  2.3677e-06
         223  -0.0234054   -0.023324 2.38533e-06
         224  -0.0234069  -0.0233244 2.40325e-06
         225   -0.023408  -0.0233247 2.42112e-06
         226  -0.0234092  -0.0233251 2.43912e-06
         227  -0.0234105  -0.0233255 2.45722e-06
         228  -0.0234116  -0.0233259 2.47528e-06
         229  -0.0234131  -0.0233262 2.49361e-06
         230  -0.0234144  -0.0233266 2.51205e-06
         231  -0.0234157   -0.023327 2.53059e-06
         232  -0.0234179  -0.0233274 2.54986e-06
         233   -0.023419  -0.0233278 2.56906e-06
         234  -0.0234203  -0.0233282 2.58834e-06
         235  -0.0234217  -0.0233286 2.60771e-06
         236   -0.023423   -0.023329 2.62716e-06
         237  -0.0234241  -0.0233294 2.64654e-06
         238  -0.0234257  -0.0233298 2.66615e-06
         239  -0.0234272  -0.0233302 2.68599e-06
         240  -0.0234284  -0.0233306 2.70575e-06
         241  -0.0234297   -0.023331 2.72559e-06
         242  -0.0234313  -0.0233314 2.74565e-06
         243  -0.0234324  -0.0233319 2.76563e-06
         244  -0.0234336  -0.0233323 2.78554e-06
         245  -0.0234349  -0.0233327 2.80552e-06
         246  -0.0234363  -0.0233331 2.82557e-06
         247  -0.0234377  -0.0233335 2.84569e-06
         248  -0.0234393   -0.023334 2.86602e-06
         249  -0.0234407  -0.0233344 2.88641e-06
         250  -0.0234419  -0.0233348 2.90673e-06
         251  -0.0234431  -0.0233353 2.92698e-06
         252  -0.0234443  -0.0233357 2.94715e-06
         253  -0.0234457  -0.0233361 2.96739e-06
         254  -0.0234476  -0.0233366 2.98797e-06
         255  -0.0234488   -0.023337 3.00848e-06
         256    -0.02345  -0.0233374 3.02892e-06
         257  -0.0234514  -0.0233379 3.04942e-06
         258  -0.0234526  -0.0233383 3.06985e-06
         259  -0.0234538  -0.0233388 3.09022e-06
         260  -0.0234555  -0.0233392 3.11078e-06
         261  -0.0234567  -0.0233397 3.13128e-06
         262  -0.0234584  -0.0233401 3.15197e-06
         263  -0.0234602  -0.0233406 3.17285e-06
         264  -0.0234616   -0.023341  3.1938e-06
         265  -0.0234629  -0.0233415 3.21467e-06
         266  -0.0234646   -0.023342 3.23572e-06
         267  -0.0234659  -0.0233424 3.25671e-06
         268  -0.0234674  -0.0233429 3.27775e-06
         269  -0.0234686  -0.0233434 3.29873e-06
         270  -0.0234699  -0.0233438 3.31963e-06
         271  -0.0234714  -0.0233443 3.34061e-06
         272  -0.0234729  -0.0233448 3.36163e-06
         273  -0.0234742  -0.0233452  3.3826e-06
         274  -0.0234755  -0.0233457 3.40351e-06
         275  -0.0234778  -0.0233462 3.42484e-06
         276  -0.0234791  -0.0233467  3.4461e-06
         277  -0.0234804  -0.0233472  3.4673e-06
         278  -0.0234824  -0.0233477  3.4888e-06
         279  -0.0234842  -0.0233481 3.51046e-06
         280  -0.0234858  -0.0233486 3.53218e-06
         281  -0.0234871  -0.0233491 3.55382e-06
         282  -0.0234889  -0.0233496 3.57563e-06
         283  -0.0234903  -0.0233501 3.59737e-06
         284  -0.0234916  -0.0233506 3.61905e-06
         285  -0.0234932  -0.0233511 3.64078e-06
         286  -0.0234946  -0.0233516 3.66245e-06
         287   -0.023496  -0.0233521 3.68405e-06
         288  -0.0234973  -0.0233526  3.7056e-06
         289  -0.0234987  -0.0233531 3.72709e-06
         290  -0.0235003  -0.0233536 3.74864e-06
         291   -0.023502  -0.0233542 3.77025e-06
         292  -0.0235036  -0.0233547 3.79191e-06
         293   -0.023505  -0.0233552 3.81352e-06
         294  -0.0235064  -0.0233557 3.83508e-06
         295  -0.0235083  -0.0233562  3.8568e-06
         296  -0.0235097  -0.0233567 3.87847e-06
         297  -0.0235111  -0.0233572  3.9001e-06
         298  -0.0235126  -0.0233578 3.92167e-06
         299  -0.0235142  -0.0233583 3.94331e-06
         300  -0.0235159  -0.0233588 3.96501e-06
         301  -0.0235176  -0.0233593 3.98676e-06
         302  -0.0235193  -0.0233599 4.00858e-06
         303  -0.0235207  -0.0233604 4.03035e-06
         304  -0.0235224  -0.0233609 4.05218e-06
         305  -0.0235241  -0.0233615 4.07406e-06
         306  -0.0235258   -0.023362 4.09601e-06
         307   -0.023528  -0.0233626 4.11821e-06
         308  -0.0235302  -0.0233631 4.14067e-06
         309  -0.0235317  -0.0233636 4.16307e-06
         310  -0.0235335  -0.0233642 4.18553e-06
         311  -0.0235357  -0.0233647 4.20823e-06
         312  -0.0235374  -0.0233653 4.23098e-06
         313  -0.0235392  -0.0233658 4.25378e-06
         314  -0.0235407  -0.0233664 4.27652e-06
         315  -0.0235425   -0.023367 4.29931e-06
         316  -0.0235445  -0.0233675 4.32225e-06
         317   -0.023546  -0.0233681 4.34513e-06
         318  -0.0235478  -0.0233687 4.36806e-06
         319  -0.0235493  -0.0233692 4.39093e-06
         320  -0.0235509  -0.0233698 4.41376e-06
         321  -0.0235527  -0.0233704 4.43664e-06
         322  -0.0235543  -0.0233709 4.45947e-06
         323  -0.0235561  -0.0233715 4.48235e-06
         324  -0.0235579  -0.0233721 4.50528e-06
         325  -0.0235597  -0.0233727 4.52826e-06
         326  -0.0235613  -0.0233732  4.5512e-06
         327  -0.0235634  -0.0233738 4.57428e-06
         328  -0.0235652  -0.0233744  4.5974e-06
         329  -0.0235668   -0.023375 4.62048e-06
         330  -0.0235684  -0.0233756 4.64352e-06
         331  -0.0235703  -0.0233762 4.66662e-06
         332  -0.0235722  -0.0233767 4.68976e-06
         333  -0.0235738  -0.0233773 4.71286e-06
         334  -0.0235754  -0.0233779 4.73592e-06
         335  -0.0235776  -0.0233785 4.75913e-06
         336  -0.0235794  -0.0233791 4.78238e-06
         337  -0.0235811  -0.0233797  4.8056e-06
         338  -0.0235828  -0.0233803 4.82878e-06
         339  -0.0235847  -0.0233809 4.85201e-06
         340  -0.0235863  -0.0233815 4.87521e-06
         341  -0.0235883  -0.0233821 4.89847e-06
         342  -0.0235904  -0.0233828 4.92186e-06
         343  -0.0235924  -0.0233834  4.9453e-06
         344  -0.0235943   -0.023384  4.9688e-06
         345   -0.023596  -0.0233846 4.99226e-06
         346   -0.023598  -0.0233852 5.01577e-06
         347  -0.0236001  -0.0233858 5.03941e-06
         348  -0.0236021  -0.0233864 5.06311e-06
         349  -0.0236041  -0.0233871 5.08686e-06
         350  -0.0236058  -0.0233877 5.11057e-06
         351  -0.0236076  -0.0233883 5.13425e-06
         352  -0.0236093  -0.0233889  5.1579e-06
         353  -0.0236115  -0.0233896 5.18169e-06
         354  -0.0236135  -0.0233902 5.20553e-06
         355  -0.0236153  -0.0233908 5.22933e-06
         356  -0.0236171  -0.0233915 5.25311e-06
         357  -0.0236186  -0.0233921 5.27678e-06
         358  -0.0236206  -0.0233928 5.30051e-06
         359  -0.0236227  -0.0233934 5.32429e-06
         360  -0.0236247   -0.023394 5.34813e-06
         361  -0.0236265  -0.0233947 5.37194e-06
         362   -0.023629  -0.0233953 5.39597e-06
         363  -0.0236309   -0.023396 5.41997e-06
         364  -0.0236327  -0.0233966 5.44395e-06
         365  -0.0236347  -0.0233973 5.46798e-06
         366  -0.0236366  -0.0233979 5.49199e-06
         367  -0.0236384  -0.0233986 5.51598e-06
         368    -0.02364  -0.0233992 5.53988e-06
         369  -0.0236419  -0.0233999 5.56375e-06
         370   -0.023644  -0.0234006 5.58769e-06
         371  -0.0236459  -0.0234012 5.61161e-06
         372  -0.0236477  -0.0234019 5.63552e-06
         373  -0.0236496  -0.0234026 5.65941e-06
         374   -0.023652  -0.0234032 5.68344e-06
         375  -0.0236543  -0.0234039  5.7076e-06
         376  -0.0236563  -0.0234046 5.73174e-06
         377  -0.0236584  -0.0234052 5.75595e-06
         378  -0.0236603  -0.0234059 5.78014e-06
         379  -0.0236629  -0.0234066 5.80454e-06
         380  -0.0236649  -0.0234073 5.82892e-06
         381  -0.0236673  -0.0234079 5.85344e-06
         382  -0.0236695  -0.0234086 5.87801e-06
         383  -0.0236714  -0.0234093 5.90256e-06
         384  -0.0236736    -0.02341 5.92718e-06
         385  -0.0236758  -0.0234107 5.95185e-06
         386   -0.023678  -0.0234114 5.97658e-06
         387    -0.02368  -0.0234121 6.00129e-06
         388  -0.0236819  -0.0234128 6.02599e-06
         389  -0.0236839  -0.0234135 6.05068e-06
         390  -0.0236859  -0.0234142 6.07536e-06
         391  -0.0236884  -0.0234149 6.10017e-06
         392  -0.0236904  -0.0234156 6.12497e-06
         393  -0.0236924  -0.0234163 6.14976e-06
         394  -0.0236949   -0.023417 6.17467e-06
         395  -0.0236972  -0.0234177 6.19965e-06
         396  -0.0236992  -0.0234184 6.22462e-06
         397  -0.0237012  -0.0234191 6.24958e-06
         398  -0.0237033  -0.0234198 6.27453e-06
         399  -0.0237056  -0.0234206 6.29954e-06
         400  -0.0237079  -0.0234213 6.32461e-06
         401  -0.0237102   -0.023422 6.34974e-06
         402  -0.0237123  -0.0234227 6.37487e-06
         403  -0.0237143  -0.0234234 6.39999e-06
         404  -0.0237167  -0.0234242 6.42517e-06
         405   -0.023719  -0.0234249 6.45041e-06
         406  -0.0237211  -0.0234256 6.47565e-06
