#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.500548    0.500548           0
           2        0.48    0.490274  0.00726482
           3    0.486952    0.489167  0.00492688
           4     0.40542     0.46823   0.0185044
           5    0.529148    0.480414   0.0183819
           6    0.475872    0.479657   0.0153339
           7     0.47188    0.478546   0.0131835
           8    0.474624    0.478056   0.0115447
           9     0.42656    0.472334   0.0115934
          10    0.546892     0.47979   0.0126056
          11    0.474652    0.479323   0.0114683
          12      0.4808    0.479446   0.0105132
          13      0.4764    0.479211  0.00970714
          14    0.461528    0.477948  0.00909558
          15    0.426964    0.474549  0.00910216
          16     0.45472     0.47331  0.00861723
          17    0.376956    0.467642  0.00979861
          18    0.423244    0.465176  0.00955965
          19    0.369756    0.460153   0.0102915
          20    0.483872    0.461339  0.00984499
          21    0.423432    0.459534  0.00954023
          22     0.46492    0.459779  0.00910972
          23    0.333624    0.454294   0.0102325
          24    0.493416    0.455924  0.00993517
          25    0.474888    0.456683  0.00956668
          26    0.420464     0.45529   0.0092996
          27    0.347564      0.4513  0.00977365
          28    0.423808    0.450318  0.00947378
          29    0.370512    0.447566  0.00953842
          30     0.39596    0.445846   0.0093743
