#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.894232   -0.894232           0
           2   -0.892616   -0.893424 0.000571342
           3    -0.89868   -0.895176  0.00148034
           4   -0.888584   -0.893528   0.0018082
           5    -0.89064    -0.89295  0.00153605
           6   -0.887008    -0.89196  0.00156713
           7   -0.883504   -0.890752   0.0017479
           8   -0.889512   -0.890597  0.00153627
           9   -0.894352   -0.891014   0.0014211
          10   -0.895472    -0.89146  0.00134709
          11   -0.888376    -0.89118  0.00125346
          12    -0.90132   -0.892025  0.00140527
          13   -0.888816   -0.891778  0.00131867
          14    -0.89044   -0.891682  0.00122794
          15   -0.890944   -0.891633  0.00114706
          16   -0.889768   -0.891517  0.00108128
          17   -0.892288   -0.891562  0.00101862
          18   -0.897688   -0.891902   0.0010173
          19   -0.898256   -0.892237  0.00101724
          20   -0.896952   -0.892472 0.000993326
          21   -0.888632    -0.89229 0.000962711
          22   -0.891584   -0.892257 0.000919486
          23   -0.897576   -0.892489  0.00090812
          24   -0.895856   -0.892629 0.000881054
          25    -0.88612   -0.892369 0.000883444
          26    -0.88976   -0.892268 0.000855144
          27   -0.889712   -0.892174 0.000828696
          28   -0.887232   -0.891997 0.000817677
          29    -0.89116   -0.891968 0.000789991
          30    -0.89252   -0.891987 0.000763872
