#     BLOCK:   ACCEPTANCE:
           1     0.08999
           2    0.090791
           3   0.0892273
           4   0.0919855
           5   0.0922092
           6   0.0929193
           7    0.092758
           8    0.093022
           9   0.0927362
          10   0.0925676
          11   0.0929367
          12   0.0924612
          13   0.0925618
          14   0.0926626
          15   0.0929656
          16   0.0928024
          17   0.0927506
          18   0.0924541
          19   0.0925733
          20    0.092321
          21   0.0925522
          22   0.0924213
          23   0.0926328
          24   0.0925488
          25   0.0927198
          26   0.0928434
          27   0.0931588
          28   0.0932526
          29   0.0933477
          30   0.0934405
