#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     23.9883     23.9883           0
           2     23.3052     23.6467    0.241519
           3     25.8032     24.3656    0.608588
           4     24.0567     24.2884    0.461312
           5     22.8224     23.9952    0.452727
           6     22.1096     23.6809    0.473956
           7     20.8033     23.2698    0.556673
           8     23.5521     23.3051    0.488206
           9     25.8946     23.5928    0.511767
          10     24.3131     23.6649    0.465631
          11     22.4355     23.5531    0.436507
          12     28.3196     23.9503    0.552024
          13     22.8335     23.8644    0.516203
          14     24.8948      23.938    0.484549
          15     24.7016     23.9889    0.454912
          16     22.2648     23.8811    0.439057
          17     24.9681     23.9451     0.41786
          18     27.3402     24.1337    0.435137
          19     26.9028     24.2794     0.43596
          20     27.3896      24.435    0.441025
          21     23.9018     24.4096    0.420754
          22     24.4235     24.4102    0.401629
          23     25.5832     24.4612    0.387392
          24     26.3094     24.5382    0.378827
          25     21.2726     24.4076    0.385537
          26     22.4877     24.3337    0.377715
          27     22.6396      24.271      0.3689
          28     22.4889     24.2073    0.361173
          29     24.7712     24.2268    0.349242
          30     25.7732     24.2783    0.341384
