#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.434515    0.434515           0
           2    0.432281    0.433398 0.000789854
           3     0.41161    0.426136  0.00595337
           4    0.473265    0.437918   0.0111379
           5    0.416334    0.433601  0.00971094
           6    0.420001    0.431334  0.00835281
           7    0.412919    0.428703  0.00756251
           8    0.439943    0.430108  0.00674644
           9    0.450753    0.432402  0.00637488
          10    0.406985    0.429861  0.00622349
          11    0.422817     0.42922  0.00569057
          12     0.43623    0.429804  0.00524625
          13     0.42113    0.429137  0.00488494
          14     0.44785    0.430474  0.00471533
          15    0.407174     0.42892  0.00464978
          16    0.406786    0.427537  0.00456032
          17    0.447874    0.428733  0.00444621
          18     0.43645    0.429162  0.00421981
          19     0.44351    0.429917  0.00406473
          20    0.462693    0.431556   0.0041788
          21     0.41754    0.430889  0.00403276
          22    0.420854    0.430432  0.00387516
          23    0.425229    0.430206  0.00371328
          24    0.418166    0.429705  0.00359229
          25    0.395199    0.428324  0.00370428
          26    0.435015    0.428582  0.00357073
          27    0.414604    0.428064  0.00347581
          28    0.421765    0.427839  0.00335894
          29    0.438295      0.4282  0.00326241
          30    0.436315     0.42847  0.00316486
