#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.220394    0.220394           0
           2    0.217076    0.218735  0.00117301
           3    0.215486    0.217652  0.00118048
           4    0.215068    0.217006  0.00104725
           5    0.217465    0.217098 0.000841809
           6    0.208445    0.215656   0.0014917
           7    0.209135    0.214724  0.00154227
           8    0.208852     0.21399   0.0015141
           9    0.208299    0.213358  0.00147202
          10    0.209639    0.212986  0.00137099
          11    0.210017    0.212716  0.00127265
          12    0.219676    0.213296  0.00129202
          13     0.21703    0.213583  0.00122414
          14    0.205284     0.21299  0.00127218
          15    0.211614    0.212899  0.00119067
          16    0.219685    0.213323  0.00118941
          17    0.214379    0.213385  0.00112106
          18    0.212007    0.213308  0.00106139
          19    0.215251    0.213411  0.00101044
          20    0.214291    0.213455 0.000960881
          21    0.213932    0.213477 0.000915393
          22    0.208271    0.213241 0.000903855
          23    0.214639    0.213302 0.000866599
          24    0.211616    0.213231 0.000833332
          25    0.210624    0.213127 0.000806501
          26    0.212008    0.213084 0.000776628
          27    0.210619    0.212993  0.00075321
          28    0.210521    0.212904 0.000731463
          29    0.209606    0.212791  0.00071503
          30    0.217811    0.212958 0.000710508
