#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.4661      1.4661           0
           2     1.52647     1.49628   0.0213442
           3     1.52286     1.50514   0.0159624
           4     1.48614     1.50039   0.0126587
           5     1.49923     1.50016   0.0101291
           6     1.50613     1.50115  0.00848965
           7     1.52117     1.50401  0.00774363
           8     1.43773     1.49573   0.0102946
           9     1.39749     1.48481   0.0137708
          10     1.49992     1.48632   0.0124762
          11     1.49599      1.4872   0.0113729
          12     1.46987     1.48576   0.0105165
          13     1.52144      1.4885   0.0100593
          14     1.51206     1.49019  0.00948042
          15      1.5165     1.49194   0.0090092
          16     1.47528      1.4909  0.00850605
          17      1.5284      1.4931  0.00828681
          18     1.49952     1.49346  0.00783408
          19     1.52124     1.49492  0.00755694
          20     1.47196     1.49377  0.00726581
          21     1.46581     1.49244  0.00704075
          22     1.49296     1.49247  0.00672075
          23     1.53333     1.49424  0.00665925
          24      1.4901     1.49407  0.00638402
          25     1.44711     1.49219  0.00639908
          26     1.46782     1.49125  0.00622124
          27     1.53177     1.49276  0.00616913
          28     1.48288      1.4924  0.00595887
          29      1.4653     1.49147  0.00582623
          30     1.52341     1.49253  0.00572849
