#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.042352    0.042352           0
           2    0.027288     0.03482  0.00532593
           3     0.02482   0.0314867  0.00447373
           4    0.037696    0.033039   0.0036146
           5     0.04532   0.0354952  0.00363155
           6    0.023984   0.0335767  0.00349653
           7    0.018288   0.0313926  0.00361538
           8    0.038616   0.0322955  0.00327427
           9     0.02524   0.0315116  0.00300284
          10     0.02814   0.0311744  0.00272142
          11    0.018608    0.030032  0.00270319
          12    0.022708   0.0294217  0.00254589
          13    0.027816   0.0292982  0.00235305
          14    0.031596   0.0294623  0.00219069
          15    0.048024   0.0306997  0.00236849
          16    0.027496   0.0304995  0.00222891
          17     0.03652   0.0308536  0.00212574
          18    0.038552   0.0312813  0.00205022
          19    0.032232   0.0313314  0.00194292
          20    0.037756   0.0316526  0.00187215
          21      0.0203    0.031112  0.00185941
          22    0.029168   0.0310236  0.00177699
          23    0.031696   0.0310529  0.00169997
          24      0.0215   0.0306548  0.00167509
          25    0.039348   0.0310026  0.00164378
          26    0.035172   0.0311629  0.00158836
          27    0.031676   0.0311819  0.00152965
          28    0.032212   0.0312187  0.00147546
          29    0.027772   0.0310999  0.00142936
          30    0.021696   0.0307864  0.00141567
