#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.192724    0.192724           0
           2    0.194072    0.193398  0.00047659
           3    0.157368    0.181388  0.00981127
           4    0.233684    0.194462   0.0135035
           5    0.165128    0.188595   0.0120098
           6    0.218876    0.193642   0.0110177
           7     0.17184    0.190527  0.00987412
           8    0.206044    0.192467   0.0088283
           9    0.217384    0.195236   0.0082701
          10      0.2238    0.198092  0.00792104
          11    0.175256    0.196016  0.00746804
          12    0.233484    0.199138  0.00746996
          13    0.224352    0.201078   0.0071427
          14    0.217016    0.202216  0.00672262
          15    0.141204    0.198149  0.00740338
          16    0.200428    0.198291  0.00694204
          17    0.220784    0.199614  0.00665858
          18    0.206004    0.199969  0.00629812
          19    0.134668    0.196532  0.00684042
          20    0.207488     0.19708   0.0065203
          21    0.245552    0.199388  0.00660573
          22     0.20974    0.199859  0.00632221
          23    0.252484    0.202147  0.00644808
          24    0.197396    0.201949  0.00618245
          25    0.140548    0.199493  0.00640444
          26    0.235688    0.200885   0.0063076
          27    0.217648    0.201506  0.00610447
          28    0.166872    0.200269  0.00601046
          29     0.19796    0.200189  0.00580373
          30    0.197832    0.200111   0.0056108
