#     BLOCK:   ACCEPTANCE:
           1     0.18705
           2    0.187561
           3    0.186497
           4    0.186509
           5    0.187135
           6    0.186966
           7     0.18731
           8    0.186536
           9    0.186535
          10    0.186296
          11    0.186746
          12    0.186117
          13    0.186415
          14    0.186128
          15      0.1866
          16    0.186641
          17    0.186527
          18    0.186558
          19     0.18655
          20    0.186326
          21    0.186315
          22    0.186446
          23    0.186425
          24    0.186323
          25    0.186383
          26    0.186396
          27    0.186347
          28    0.186452
          29    0.186516
          30    0.186609
