#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.425083    0.425083           0
           2    0.459369    0.442226    0.012122
           3    0.420499    0.434984   0.0100137
           4    0.467229    0.443045   0.0102539
           5    0.450038    0.444444  0.00829796
           6    0.429074    0.441882  0.00729964
           7     0.45709    0.444055  0.00657219
           8     0.42602      0.4418  0.00612511
           9    0.450084    0.442721  0.00551327
          10    0.445908    0.443039  0.00497115
          11    0.432676    0.442097  0.00460763
          12    0.440778    0.441987  0.00422497
          13    0.399602    0.438727  0.00500221
          14    0.432612     0.43829  0.00466394
          15    0.430658    0.437781  0.00438068
          16    0.447061    0.438361   0.0041451
          17     0.45423    0.439295    0.004005
          18    0.434642    0.439036  0.00379083
          19    0.430058    0.438564  0.00362064
          20    0.421245    0.437698  0.00354165
          21    0.468347    0.439157  0.00366139
          22    0.448697    0.439591  0.00352054
          23    0.426182    0.439008  0.00341541
          24    0.409784     0.43779  0.00348341
          25    0.449219    0.438247  0.00337393
          26    0.415819    0.437385  0.00335263
          27     0.44796    0.437777  0.00325126
          28    0.441319    0.437903   0.0031376
          29    0.419319    0.437262  0.00309416
          30    0.435797    0.437213   0.0029914
