#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.80376    -0.80376           0
           2    -0.80468    -0.80422 0.000325269
           3   -0.807424   -0.805288 0.000898576
           4   -0.801448   -0.804328  0.00107023
           5    -0.80568   -0.804598 0.000889685
           6      -0.805   -0.804665 0.000743917
           7   -0.802984   -0.804425 0.000675307
           8   -0.806216   -0.804649 0.000626899
           9   -0.802152   -0.804372 0.000615584
          10   -0.804864   -0.804421 0.000555992
          11   -0.801096   -0.804119 0.000581833
          12    -0.81156   -0.804739   0.0007981
          13     -0.8014   -0.804482  0.00077693
          14   -0.809584   -0.804846  0.00080237
          15   -0.801376   -0.804615 0.000781521
          16    -0.80608   -0.804707 0.000738021
          17   -0.804256    -0.80468 0.000695084
          18    -0.80228   -0.804547 0.000669134
          19   -0.804536   -0.804546 0.000633916
          20   -0.808128   -0.804725 0.000627009
          21   -0.804864   -0.804732 0.000597187
          22    -0.80048   -0.804539 0.000600501
          23   -0.807344   -0.804661 0.000586649
          24   -0.806944   -0.804756 0.000569869
          25   -0.806152   -0.804812 0.000549804
          26   -0.808488   -0.804953 0.000546539
          27    -0.80796   -0.805064 0.000537525
          28   -0.799152   -0.804853 0.000558262
          29   -0.805184   -0.804865 0.000539129
          30   -0.803656   -0.804824 0.000522661
