#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.0307     10.0307           0
           2     10.7612     10.3959    0.258254
           3     10.5929     10.4616    0.180318
           4     10.5683     10.4883    0.137199
           5     11.1307     10.6168    0.158912
           6     9.86612     10.4916     0.17487
           7     9.64275     10.3704    0.187276
           8     9.26434     10.2321    0.208752
           9     11.1063     10.3293    0.206924
          10     10.4378     10.3401    0.186516
          11     9.98666      10.308    0.172305
          12     10.8322     10.3517    0.163391
          13     9.35671     10.2751    0.167793
          14     10.7155     10.3066    0.158729
          15     10.8322     10.3416    0.151966
          16     10.7211     10.3653    0.144307
          17     11.0413     10.4051     0.14119
          18       10.25     10.3965    0.133609
          19     10.3395     10.3935    0.126611
          20     9.57555     10.3526    0.126713
          21     11.1233     10.3893    0.125883
          22     10.1686     10.3793     0.12056
          23     10.6106     10.3893    0.115737
          24     10.3074     10.3859    0.110965
          25     10.6552     10.3967    0.107048
          26     10.7319     10.4096    0.103704
          27     11.1106     10.4355    0.103062
          28     9.71908     10.4099    0.102508
          29     9.10085     10.3648    0.108459
          30     9.85242     10.3477     0.10618
