BLK #        BLK_AVE    CURRENT_AVE          ERROR
216        1797.32           2239        40.2959
217        1795.18           2237        40.1502
218        1795.18           2235        40.0101
219        1793.29           2233        39.8737
220        1793.18           2231        39.7425
221        1793.18           2229        39.6167
222        1793.18           2227         39.496
223        1784.57           2225        39.3727
224        1784.57           2223        39.2544
225        1784.57           2221        39.1411
226        1784.57           2219        39.0327
227        1784.57           2217        38.9293
228        1781.64           2215        38.8279
229        1781.64           2213        38.7312
230         1781.5           2211         38.639
231         1781.5           2209        38.5514
232         1781.5           2207        38.4682
233         1781.5           2206        38.1408
234         1781.5           2204         38.067
235         1781.5           2202        37.9974
236         1780.8           2200        37.9313
237         1779.4           2198         37.868
238         1779.4           2197        37.5628
239        1778.36           2195        37.5074
240        1773.05           2193        37.4514
241        1773.05           2191        37.3993
242        1773.05           2190        37.1069
243        1773.05           2188        37.0631
244        1768.76           2186        37.0194
245        1768.76           2185        36.7363
246        1760.82           2183        36.6943
247           1759           2181        36.6544
248           1759           2179        36.6178
249           1759           2178         36.344
250        1758.87           2176         36.315
251        1756.51           2174        36.2875
252        1756.51           2173        36.0237
253        1756.51           2171        36.0035
254        1756.21           2169        35.9862
255        1756.21           2168        35.7339
256        1754.72           2166        35.7224
257        1754.72           2165        35.4763
258        1752.77           2163        35.4702
259        1752.77           2161        35.4669
260        1752.77           2160        35.2304
261        1752.77           2158        35.2336
262        1752.46           2157        35.0039
263        1752.46           2155        35.0131
264        1752.08           2154          34.79
265        1752.08           2152         34.805
266        1751.96           2151        34.5885
267        1751.96           2149        34.6093
268        1751.06           2148        34.3987
269        1751.06           2146        34.4245
270        1751.34           2145        34.2205
271        1751.34           2143         34.252
272        1751.34           2142        34.0543
273        1751.34           2140        34.0911
274        1747.32           2139        33.8967
275        1744.19           2137        33.9337
276        1744.19           2136        33.7431
277        1744.19           2135        33.5555
278        1744.19           2133        33.6005
279        1744.19           2132        33.4187
280         1743.1           2130        33.4678
281         1743.1           2129        33.2909
282         1743.1           2128        33.1167
283         1743.1           2126        33.1733
284         1743.1           2125        33.0047
285        1737.85           2124        32.8352
286        1737.85           2122        32.8954
287        1737.85           2121        32.7313
288        1737.85           2120        32.5698
289        1732.28           2118        32.6333
290        1732.28           2117        32.4734
291        1732.28           2116         32.316
292        1732.28           2114        32.3862
293        1732.28           2113        32.2338
294        1732.28           2112        32.0839
295        1732.28           2110        32.1604
296        1732.28           2109        32.0153
297        1731.25           2108         31.872
298        1731.25           2107         31.731
299         1730.9           2105        31.8149
300         1730.9           2104        31.6784
301         1730.9           2103        31.5441
302         1730.9           2102        31.4121
303         1730.9           2100        31.5038
304        1730.57           2099         31.376
305        1730.57           2098        31.2504
306         1730.5           2097        31.1269
307        1730.12           2095        31.2254
308        1729.27           2094        31.1054
309        1729.07           2093        30.9874
310        1725.82           2092        30.8695
311        1722.82           2091         30.752
312        1722.82           2090        30.6365
313        1722.64           2088        30.7415
314        1722.64           2087        30.6299
315        1722.64           2086        30.5203
316        1721.91           2085        30.4123
317        1721.37           2084        30.3059
318        1721.37           2083        30.2015
319        1721.37           2081        30.3156
320        1720.88           2080        30.2146
321        1720.88           2079        30.1155
322        1720.88           2078        30.0183
323        1719.24           2077        29.9219
324        1719.24           2076        29.8274
325        1719.24           2075        29.7347
326        1719.24           2074        29.6438
327        1719.24           2073        29.5547
328        1719.24           2071        29.6815
329        1718.01           2070         29.595
330        1719.39           2069         29.511
331        1719.39           2068        29.4287
332        1714.19           2067        29.3453
333        1714.12           2066        29.2636
334        1714.12           2065        29.1834
335        1714.12           2064         29.105
336        1713.41           2063        29.0278
337        1713.41           2062        28.9521
338        1713.14           2061         28.878
339        1711.73           2060        28.8047
340        1712.99           2059        28.7336
341        1712.99           2058        28.6641
342        1712.99           2057        28.5961
343        1712.99           2056        28.5297
344        1711.86           2055        28.4641
345         1711.3           2054        28.3997
346         1711.3           2053        28.3368
347        1709.53           2052        28.2746
348        1709.53           2051        28.2137
349        1709.53           2050        28.1542
350        1709.53           2049        28.0962
351        1709.53           2048        28.0396
352        1709.53           2047        27.9844
353        1709.53           2046        27.9305
354        1709.53           2045         27.878
355        1709.53           2044        27.8268
356        1709.53           2043         27.777
357        1709.53           2042        27.7285
358        1709.53           2041        27.6812
359        1709.53           2040        27.6352
360        1709.53           2039        27.5906
361        1709.43           2039        27.3408
362        1709.43           2038        27.2988
363        1709.43           2037        27.2581
364        1708.35           2036        27.2182
365        1708.35           2035        27.1794
366        1708.35           2034        27.1418
367        1708.35           2033        27.1054
368        1708.35           2032        27.0701
369        1708.35           2031         27.036
370        1707.26           2030        27.0025
371         1707.2           2030         26.766
372         1707.2           2029        26.7351
373         1707.2           2028        26.7053
374        1706.85           2027        26.6764
375        1706.45           2026        26.6485
376        1706.45           2025        26.6216
377        1706.08           2024        26.5955
378        1706.08           2024        26.3678
379        1706.08           2023        26.3442
380        1702.03           2022        26.3199
381        1702.03           2021        26.2966
382        1702.03           2020        26.2742
383        1702.03           2019        26.2529
384        1702.03           2019        26.0309
385        1702.03           2018         26.012
386        1702.03           2017         25.994
387        1702.03           2016        25.9769
388        1702.03           2015        25.9608
389        1702.03           2015        25.7447
390        1702.03           2014         25.731
391        1702.03           2013         25.718
392        1702.03           2012         25.706
393        1702.03           2011        25.6949
394         1701.8           2011        25.4846
395        1701.13           2010        25.4753
396        1701.13           2009        25.4668
397        1701.13           2008        25.4592
