BLK #        BLK_AVE    CURRENT_AVE          ERROR
1        4480.46           4480              0
2        4407.97           4443        110.064
3        4242.75           4376        97.9056
4        4189.86           4329        91.0934
5        4092.46           4282        80.9815
6        4034.08           4240        85.0529
7        3967.63           4201        82.5005
8        3896.34           4163        80.3519
9        3875.65           4131        78.2041
10        3551.38           4073        91.0317
11        3533.15           4024        95.5338
12        3437.74           3975        100.486
13        3404.02           3931        102.588
14        3376.93           3891        104.119
15        3331.81           3854        103.108
16        3281.15           3818        103.366
17        3212.54           3782        104.297
18        3183.69           3749        103.289
19        3165.52           3718        102.998
20        3087.81           3687          101.7
21        3038.09           3656         101.73
22        3023.72           3627        101.607
23        3011.41           3600        101.092
24        2984.57           3574         100.68
25        2941.68           3549        99.3917
26        2925.13           3525        98.4685
27         2889.8           3501          98.28
28         2883.6           3479        97.1719
29        2842.25           3457        96.3531
30        2781.81           3435        95.1398
31        2750.78           3413        94.5435
32        2749.33           3392        94.1641
33         2740.5           3372        93.6671
34        2714.61           3353        92.5376
35        2707.03           3334        92.3104
36        2689.21           3316        91.5721
37        2658.41           3299        90.0358
38        2628.28           3281        89.7403
39        2622.23           3264        89.1307
40        2565.69           3247        88.1794
41        2548.68           3229        88.5589
42        2531.32           3213        87.4605
43        2523.43           3197        86.8631
44        2495.72           3181        86.4025
45         2486.1           3165        86.3267
46        2437.48           3150        85.2305
47        2421.96           3134        85.2323
48        2414.05           3119        84.7759
49        2406.65           3104        84.6448
50        2395.34           3090         84.007
51        2394.57           3077        82.9947
52        2385.03           3063        82.9669
53        2385.03           3050        82.5336
54        2368.24           3038        81.5306
55        2368.24           3026        80.8327
56        2366.26           3014         80.395
57        2347.69           3002        80.0406
58        2347.69           2991        79.2675
59         2345.3           2980        78.7138
60        2298.69           2969        77.9905
61        2291.42           2957        78.0669
62        2282.87           2946        77.6423
63        2278.95           2936        76.7683
64        2251.74           2925        76.4993
65        2251.74           2915        75.8075
66        2241.64           2905        75.2239
67        2241.64           2895        74.8093
68        2231.71           2885        74.4858
69        2231.71           2875        74.3099
70        2222.07           2866        73.6477
71         2206.3           2857        73.0324
72        2205.17           2848        72.5484
73        2180.61           2839        72.0516
74        2162.44           2829        72.1191
75        2160.97           2820        71.7557
76        2158.07           2812        70.9651
77        2143.75           2803        70.7408
78        2143.75           2795         70.104
79        2142.14           2786        70.0787
80        2122.62           2778        69.5446
81        2122.62           2770          69.11
82        2120.62           2762        68.7599
83        2120.62           2754        68.4983
84        2111.97           2747        67.7949
85        2101.43           2739        67.6174
86        2101.43           2732        67.0384
87        2099.47           2724        67.0069
88        2085.56           2717        66.5176
89        2077.28           2710          66.07
90        2074.08           2703        65.6823
91        2074.08           2696        65.3639
92        2073.99           2689        65.1106
93        2065.47           2682        64.8876
94        2064.61           2676         64.275
95        2064.61           2669        64.1698
96         2063.5           2663        63.6752
97        2063.25           2657         63.238
98        2057.12           2651        62.8352
99        2055.03           2645        62.4794
100        2022.29           2638        62.4945
101        2022.29           2632        62.1316
102        2020.76           2626        61.8138
103        2020.76           2620        61.5438
104        2017.21           2615        60.8931
105        2011.34           2609        60.6876
106        2011.34           2603        60.5245
107        2011.34           2598        59.9947
108        1999.79           2592         59.881
109        1999.79           2587        59.4029
110        1990.68           2581         59.341
