BLK #        BLK_AVE    CURRENT_AVE          ERROR
1        4443.35           4443              0
2        4353.93           4398         87.327
3        4248.27           4348        73.6376
4        4208.63           4313         66.169
5        4090.45           4268        75.1964
6        4015.21           4226        72.9534
7        3881.15           4176        85.1587
8        3820.47           4132         83.025
9        3719.77           4086         87.525
10        3553.34           4033        93.4202
11        3484.57           3983        98.6899
12        3432.46           3937         101.53
13         3336.5           3890        106.677
14         3336.5           3851        104.882
15        3299.16           3814        104.889
16        3138.89           3772        106.345
17        3128.09           3734        107.102
18        3092.51           3698        107.814
19        3077.56           3665        107.736
20        3041.46           3634         106.54
21        3030.82           3605        105.804
22        3004.82           3578        104.045
23        2952.95           3551         102.79
24        2945.12           3526         101.23
25        2931.79           3502        100.301
26        2876.09           3478        99.2246
27         2860.9           3455        98.3715
28        2802.86           3431        98.5318
29        2781.18           3409         97.169
30        2730.71           3386        97.0293
31        2709.64           3364        96.5614
32        2691.52           3343         95.811
33        2670.52           3323        94.6578
34        2658.37           3303        94.3697
35         2610.3           3284        92.9279
36        2590.06           3264        93.0722
37        2590.06           3246        92.1263
38        2579.86           3228        91.8143
39        2555.87           3211        90.8572
40        2536.13           3194         90.266
41        2530.08           3178         89.342
42        2512.53           3162        88.7522
43        2512.53           3147        87.8813
44        2487.34           3132        87.1664
45        2459.72           3117        86.5565
46        2454.13           3103        85.5417
47        2438.53           3089        84.7785
48        2438.53           3075         84.441
49        2427.52           3062        83.5857
50        2411.02           3049        82.9106
51        2409.78           3036         82.573
52        2402.72           3024        81.7511
53        2384.54           3012        81.0496
54        2366.96           3000        80.4652
55        2365.97           2988        80.1519
56        2352.83           2977        79.2873
57        2328.72           2966        78.4584
58        2328.72           2955         77.881
59        2323.41           2944         77.488
60        2286.52           2933        76.9968
61        2282.54           2922        76.6853
62        2270.91           2912        75.8508
63         2261.6           2901        75.7665
64        2250.81           2891        75.1649
65        2250.81           2881         74.743
66        2250.81           2872        73.8915
67         2241.1           2862        73.7309
68         2241.1           2853         73.134
69         2199.8           2844        72.4164
70         2199.8           2834        72.4189
71         2199.8           2825        71.9861
72         2193.2           2817        71.0885
73         2193.2           2808        70.8774
74        2177.53           2800        70.1466
75        2177.53           2791        70.0789
76        2177.53           2783        69.5819
77        2177.53           2775        69.1932
78        2151.37           2767        68.7691
79        2134.08           2759        68.3581
80         2132.4           2751        68.0369
81        2121.23           2744         67.246
82        2121.23           2736        67.0581
83         2118.5           2729        66.4418
84        2111.21           2721        66.3763
85        2094.84           2714        65.8234
86        2088.53           2707         65.326
87        2087.45           2699        65.3854
88        2087.45           2692        65.0347
89        2087.45           2686        64.2823
90         2071.3           2679        64.0099
91         2071.3           2672        63.8039
92        2064.04           2666        63.1702
93        2064.04           2659        63.0637
94        2053.25           2653        62.5188
95         2033.8           2646        62.4175
96         2033.8           2640        61.9232
97         2033.8           2633        61.9327
98        2026.19           2627         61.525
99        2021.36           2621        61.1555
100        2019.48           2615        60.8323
101        2019.48           2609        60.5596
102        2011.27           2603        60.3084
103        2011.27           2598        59.6787
104        2011.27           2592        59.5225
105        2002.42           2586         59.381
106        2002.42           2581        58.8646
107        2002.42           2575        58.8074
108        1996.91           2570        58.3608
109        1996.91           2565        57.9559
110        1987.88           2559        57.9718
111        1983.54           2554        57.6063
112        1983.41           2549        57.2786
113        1975.64           2544        56.9663
114        1975.64           2539        56.6897
115        1975.64           2534        56.4476
116        1975.41           2529        56.2379
117        1974.64           2525        55.6684
118        1973.09           2520        55.5178
119        1972.66           2515        55.3953
120        1969.38           2511        54.9099
121        1962.33           2506        54.8204
122        1962.33           2502        54.3783
123        1956.27           2497        54.3291
124        1956.27           2493          53.93
125        1956.27           2489        53.5588
126        1956.27           2484        53.5871
127        1952.66           2480          53.26
128        1938.36           2476        52.9262
129        1930.55           2472        52.6005
130         1929.7           2468         52.298
131         1929.7           2463         52.383
132        1929.36           2459        52.1262
133         1915.3           2455        51.8625
134         1915.3           2451        51.6215
135         1915.3           2447        51.4025
136        1915.22           2443        51.2045
137        1912.07           2439        51.0207
138        1909.65           2436        50.5013
139        1909.65           2432        50.3542
140        1908.65           2428        50.2239
141        1908.24           2424         50.111
142        1906.73           2421        49.6683
143        1906.73           2417        49.5895
144        1906.08           2414        49.1838
145        1905.47           2410        49.1374
146        1905.47           2407         48.767
147        1905.47           2403        48.7532
148        1896.45           2400        48.4011
149        1896.45           2396        48.4018
150        1884.55           2393        48.0621
151        1884.55           2390        47.7389
152        1884.55           2386         47.764
153        1884.55           2383        47.4724
154        1884.55           2380        47.1961
155        1884.55           2377        46.9349
156         1883.5           2373        47.0135
157         1883.5           2370        46.7787
158         1883.5           2367         46.558
159        1882.37           2364         46.349
160        1871.42           2361        46.1359
161        1871.42           2358        45.9361
162        1871.42           2355        45.7492
163        1871.42           2352         45.575
164        1871.42           2349         45.413
165        1871.42           2346        45.2631
166        1871.42           2343        45.1247
167        1871.42           2340        44.9977
168        1871.42           2338        44.5688
169        1868.37           2335        44.4605
170        1853.07           2332        44.3405
171        1848.39           2329        44.2243
172        1848.39           2326        44.1187
173        1848.39           2324        43.7152
174        1846.42           2321        43.6284
175        1846.42           2318        43.5513
176        1843.94           2315        43.4802
177        1843.94           2313        43.1145
178        1843.94           2310        43.0633
179        1842.26           2308         42.716
180        1841.32           2305        42.6802
181        1841.32           2302        42.6525
182        1838.26           2300        42.3299
183        1838.26           2297        42.3159
184        1836.94           2295        42.0104
185        1836.65           2292        42.0113
186        1835.33           2290        41.7221
187        1835.33           2287        41.7375
188        1828.56           2285        41.4573
189        1828.56           2283        41.1859
190        1827.12           2280        41.2149
191        1817.97           2278        40.9474
192        1817.97           2275        40.9799
193        1817.97           2273         40.729
194        1816.35           2271        40.4841
195        1816.35           2268        40.5366
196        1815.08           2266        40.3059
197        1815.08           2264        40.0829
198        1815.08           2261        40.1543
199        1815.08           2259        39.9462
200         1802.6           2257        39.7309
201         1802.6           2255        39.5231
202         1802.6           2252        39.6064
203         1802.6           2250        39.4125
204         1802.6           2248        39.2256
205         1802.6           2246        39.0456
206        1801.36           2244        38.8709
207        1799.79           2241        38.9813
208        1799.79           2239        38.8176
209        1799.79           2237        38.6603
210        1799.79           2235        38.5093
211        1799.07           2233        38.3637
212        1799.07           2231        38.2242
213        1798.97           2229        38.0905
214        1798.97           2227        37.9627
215        1797.66           2225        37.8393
216        1797.66           2223        37.7216
217        1790.92           2221        37.6025
218        1790.26           2219        37.4883
219        1786.98           2217        37.3763
220        1786.98           2215        37.2696
221        1786.98           2213        37.1682
222        1786.98           2211         37.072
223        1786.27           2209        36.9802
224        1782.68           2207        36.8899
225         1781.3           2205        36.8032
226         1781.3           2204        36.4536
227         1781.3           2202        36.3774
228         1781.3           2200        36.3058
229         1781.3           2198        36.2388
230        1776.19           2196        36.1715
231        1776.19           2194        36.1087
232        1776.19           2193         35.786
233        1776.19           2191        35.7328
234        1776.19           2189        35.6838
235        1776.19           2187        35.6389
236        1776.19           2185        35.5981
237        1776.19           2184        35.2999
238        1774.97           2182        35.2669
239        1774.97           2180        35.2375
240        1769.33           2179        34.9471
241        1769.33           2177        34.9213
242        1769.33           2175        34.8991
243        1769.33           2174         34.622
244        1769.05           2172        34.6078
245        1769.05           2170        34.5969
246        1769.05           2169        34.3325
247        1767.62           2167        34.3282
248        1766.47           2165        34.3261
249        1766.47           2164         34.072
250        1761.03           2162        34.0727
251        1761.03           2161        33.8219
252        1760.94           2159        33.8299
253        1760.94           2157        33.8407
254        1760.64           2156        33.6015
255        1760.64           2154        33.6189
256        1760.56           2153        33.3872
257        1759.33           2151        33.4102
258        1757.44           2150        33.1832
259        1757.44           2148        33.2112
260        1755.05           2147        32.9895
261        1755.05           2145        33.0219
262        1754.73           2144         32.807
263        1754.73           2142        32.8452
264        1753.28           2141         32.636
265        1753.28           2139         32.679
266        1753.28           2138        32.4766
267        1753.28           2136        32.5251
268        1753.28           2135        32.3293
269        1752.46           2133        32.3826
270        1752.22           2132        32.1924
271        1752.22           2131        32.0052
272        1752.22           2129        32.0669
273         1749.1           2128        31.8836
274         1749.1           2126        31.9479
275         1749.1           2125        31.7707
276         1749.1           2124        31.5963
277         1749.1           2122        31.6685
278         1749.1           2121           31.5
279        1748.93           2120        31.3341
280        1743.84           2118        31.4101
281        1743.84           2117        31.2463
282        1743.84           2116        31.0852
283        1743.84           2114        31.1682
284        1743.34           2113        31.0123
285        1743.34           2112         30.859
286        1743.34           2110        30.9485
287        1743.34           2109        30.8006
288        1743.34           2108        30.6552
289        1743.34           2107        30.5122
290        1737.13           2105        30.6065
291        1737.13           2104        30.4645
292        1734.84           2103        30.3234
293        1734.84           2102        30.1848
294        1734.84           2100        30.2861
295        1734.84           2099        30.1524
296        1734.84           2098        30.0211
297        1734.84           2097         29.892
298        1734.84           2095        30.0014
299        1734.84           2094        29.8771
300        1735.31           2093        29.7554
301        1734.76           2092        29.6355
302        1734.76           2091        29.5179
303        1734.76           2089        29.6368
304        1733.98           2088        29.5231
305        1733.98           2087        29.4116
306        1733.98           2086        29.3021
307        1733.98           2085        29.1948
308        1733.98           2084        29.0896
309        1731.84           2082        29.2175
310        1727.76           2081        29.1125
311        1727.76           2080        29.0096
312        1727.44           2079        28.9084
313        1727.38           2078        28.8093
314        1727.38           2077        28.7122
315        1727.38           2076         28.617
316        1726.79           2075        28.5235
317        1726.19           2073        28.6613
318        1726.19           2072        28.5711
319        1726.19           2071        28.4829
320        1722.94           2070        28.3945
321        1722.94           2069         28.308
322        1722.94           2068        28.2234
323        1722.94           2067        28.1406
324        1722.94           2066        28.0595
325        1722.94           2065        27.9803
326        1722.94           2064        27.9029
327        1722.94           2063        27.8272
328        1722.94           2062        27.7532
329        1721.76           2061        27.6803
330        1719.51           2060        27.6078
331        1719.51           2059         27.537
332        1717.43           2058        27.4667
333        1717.43           2057         27.398
334        1717.43           2056         27.331
335        1717.43           2054        27.4903
336        1716.73           2053        27.4259
337        1716.73           2052        27.3631
338        1716.73           2051        27.3018
339        1715.29           2050        27.2413
340        1711.61           2049        27.1804
341        1711.61           2048         27.121
342        1711.61           2048        26.8403
343        1711.61           2047        26.7842
344        1711.61           2046        26.7296
345        1711.61           2045        26.6765
