GEN #         BEST_L         L_MEAN
267        1874.42        1904.76
268        1874.42        1904.06
269        1874.42        1914.84
270        1874.42        1902.04
271        1872.69        1905.52
272        1872.69        1900.07
273        1872.69        1901.19
274        1872.69        1904.35
275        1872.31        1895.48
276        1872.31        1902.99
277        1872.31        1907.05
278        1872.31        1900.26
279        1872.31        1895.64
280        1872.31        1897.78
281        1872.31        1902.79
282        1872.31        1909.43
283        1872.31        1913.23
284        1872.31        1898.45
285        1872.31        1903.88
286        1872.31        1908.15
287        1872.31        1918.86
288        1872.31        1918.51
289        1872.31        1897.13
290        1872.31        1907.11
291        1872.31        1898.46
292        1871.69        1908.77
293         1869.6        1897.02
294        1865.18        1911.12
295        1865.18        1898.01
296        1865.18        1910.81
297        1865.18        1895.66
298        1865.18        1907.13
299        1865.18        1905.61
300        1865.18        1893.85
301        1865.18        1918.39
302        1865.18        1906.06
303        1862.29        1897.41
304        1862.29        1889.21
305        1862.29        1898.59
306        1862.29        1896.99
307        1862.29        1909.54
308        1862.29        1897.12
309        1862.29         1903.6
310        1862.29        1894.16
311        1862.29        1896.27
312        1862.29        1910.33
313        1861.36        1894.13
314        1860.14        1897.73
315        1860.14        1883.71
316        1860.14        1883.38
317        1858.26        1889.53
318        1858.26        1883.73
319        1858.26        1885.44
320        1858.26         1883.8
321        1858.26        1898.75
322        1857.48        1881.02
323        1857.48        1886.55
324        1855.76        1898.49
325        1855.76        1881.85
326        1855.76        1882.71
327        1855.76        1895.35
328        1855.76        1885.52
329        1855.76        1879.39
330        1855.76        1892.58
331        1855.76        1882.93
332        1855.76        1881.86
333        1855.76        1889.96
334        1855.76        1880.43
335        1853.17        1893.11
336        1853.17        1897.59
337        1853.17        1891.31
338        1853.17        1878.35
339        1853.17         1887.8
340        1853.17        1888.08
341        1853.17        1892.94
342        1853.17        1907.02
343        1853.17        1880.31
344        1850.59        1885.84
345        1850.59        1893.95
346        1850.59        1897.29
347        1850.59        1908.59
348        1850.59        1888.61
349        1850.23        1886.47
350        1850.23        1888.71
351        1850.23        1874.89
352        1850.23        1885.56
353        1850.19        1877.84
354        1850.19        1893.71
355        1850.19        1890.98
356        1850.19        1877.72
357        1850.19        1874.41
358        1850.19        1895.46
359        1849.86        1890.63
360        1849.86        1879.44
361        1849.86        1876.46
362        1849.86        1875.72
363        1849.37        1884.92
364        1849.37        1889.35
365        1849.28        1875.78
366        1848.01        1884.79
367        1846.28        1878.56
368        1846.28        1873.73
369        1846.28        1879.78
