GEN #         BEST_L         L_MEAN
1         4714.6        5007.45
2        4480.41        4719.97
3        4463.09         4578.9
4         4356.4        4468.92
5        4206.44        4386.99
6        4060.84        4258.59
7        3994.72         4121.4
8         3899.5        4020.94
9        3801.58         3928.8
10         3714.5        3828.93
11        3665.81        3766.69
12        3506.91        3702.85
13        3471.98        3652.89
14        3381.59        3572.67
15        3375.43        3483.23
16        3333.89        3410.66
17        3316.44        3366.12
18        3172.53        3324.88
19         3118.6        3260.18
20        3002.08        3172.93
21        2960.86        3084.12
22        2941.16        3013.38
23        2924.79        2985.41
24         2873.9        2952.63
25        2803.13        2914.46
26        2801.55        2882.58
27        2772.09        2832.27
28        2758.11        2793.84
29        2727.08        2766.59
30        2684.73        2752.31
31        2670.71        2719.33
32        2647.74        2694.72
33        2593.97        2682.91
34        2561.42        2667.39
35        2555.69        2623.17
36        2543.67        2577.24
37        2521.55        2573.07
38        2502.47        2555.54
39        2487.54         2536.4
40        2496.46        2525.31
41        2478.03        2516.39
42        2470.76        2511.53
43        2469.84        2514.42
44        2453.52        2493.39
45        2453.52         2484.6
46        2444.15        2476.38
47        2430.87        2474.44
48        2421.67        2462.69
49        2399.55        2448.86
50        2345.89        2432.03
51        2340.53        2414.88
52        2338.34        2382.76
53         2327.5        2357.31
54        2326.52        2348.81
55        2313.61        2344.42
56        2290.54         2342.1
57        2281.65         2328.6
58        2281.65        2319.24
59        2267.65        2296.34
60        2261.99        2300.47
61        2261.99        2281.16
62        2251.89        2277.36
63         2249.1        2272.25
64        2246.91        2273.12
65         2240.8        2275.44
66        2231.74        2257.18
67        2231.74        2257.14
68        2229.29         2257.9
69        2225.45        2255.46
70        2205.51         2243.4
71        2201.14        2253.01
72        2198.37        2241.04
73        2192.16        2228.69
74        2188.21        2209.63
75        2187.13        2212.16
76        2174.09         2208.8
77        2161.29        2204.12
78        2161.29        2199.59
79        2155.31        2203.38
80           2156         2201.1
81        2140.58        2183.66
82        2137.23         2179.6
83        2137.23         2167.1
84        2137.23        2172.61
85        2131.75        2152.19
86        2119.01        2149.75
87        2105.95        2135.84
88        2105.95        2139.18
89        2105.95        2139.19
90        2077.15        2129.62
91        2077.15        2120.14
92        2067.86        2103.99
93        2064.95        2090.67
94         2059.8         2094.1
95         2059.8        2093.78
96         2059.8        2096.29
97         2059.8        2106.91
98        2059.08        2090.67
99        2044.61        2088.15
100        2040.59        2076.56
101        2040.59        2070.95
102        2040.59        2075.33
103        2040.59        2065.48
104        2028.04        2064.54
105        2028.04        2059.71
106        2025.86        2056.29
107        2019.78        2049.65
108        2019.78         2051.4
109        2019.78        2052.12
110        1999.55        2045.88
111        1999.55        2035.98
112        1999.55        2047.09
113        1998.29        2026.85
114        1997.07        2027.94
115        1997.07        2017.31
116        1997.07        2025.43
117         1995.6        2011.22
118        1994.99         2039.3
119        1987.75        2021.36
120        1979.31        2010.51
121        1965.91        1999.66
122        1965.91        2010.91
123        1943.58        2010.23
124        1943.58        1995.36
125        1943.58        1976.57
126        1943.58        1980.55
127        1939.14        1963.39
128        1936.24        1974.08
129        1936.24        1968.94
130        1936.24        1968.22
131        1934.68        1955.62
132        1933.69        1971.22
133        1929.52        1952.12
134        1926.44        1963.24
135        1924.97        1963.49
136         1922.6        1950.98
137         1922.6        1947.33
138         1922.6        1946.31
139        1922.51         1939.5
140        1914.78        1945.91
141        1912.17        1949.97
142        1912.17        1934.07
143        1912.17        1937.34
144        1908.23        1947.56
145        1908.23        1930.97
146        1906.02        1948.86
147        1906.02        1933.13
148        1906.02        1934.19
149        1903.09         1935.6
150        1898.18        1934.48
151        1898.18        1922.91
152        1898.18        1922.22
153        1898.18        1920.72
154        1898.18        1929.19
155        1897.17        1917.24
156        1897.17         1923.3
157        1894.93        1928.58
158        1894.93        1927.05
159        1887.02        1906.51
160        1882.32        1906.08
161        1882.32        1925.58
162        1882.32        1908.61
163        1878.14        1917.46
164        1877.35        1901.57
165        1874.65         1901.4
166        1871.21        1906.52
167        1871.21        1902.05
168        1868.31        1895.54
169        1868.31        1897.05
170        1858.57         1893.7
171        1858.57        1888.57
172        1858.57        1876.61
173        1853.33        1875.36
174        1853.33         1898.3
175         1851.6        1872.79
176         1851.6         1880.1
177         1851.6        1869.77
178        1849.82        1872.84
179        1848.92        1865.81
180        1843.71        1874.62
181        1843.71        1883.25
182        1839.72         1870.4
183        1839.72        1872.58
184        1839.72        1880.12
185        1839.72        1870.23
186        1839.39        1869.42
187        1837.54        1863.84
188        1835.33        1859.83
189        1835.31        1861.32
190        1834.63        1863.74
