BLK #        BLK_AVE    CURRENT_AVE          ERROR
1        4125.44           4125              0
2        4063.99           4094         82.456
3        3937.44           4041         90.956
4        3858.41           3995        84.6089
5           3784           3953        75.3824
6        3682.51           3908        75.4533
7        3667.93           3873        78.4326
8        3558.17           3834        75.9972
9        3555.43           3803        74.1316
10        3451.22           3768        74.0578
11        3446.19           3738        76.8115
12           3401           3710        75.1604
13        3356.66           3683        73.5419
14        3342.09           3658        74.7946
15        3322.45           3636        71.8088
16        3285.61           3614        70.9934
17        3250.39           3593         68.775
18        3217.87           3572        68.5986
19        3163.62           3550        69.8001
20        3092.51           3527        70.3899
21        3042.79           3504        70.6707
22        3028.42           3482        71.6559
23        3009.49           3462        70.2777
24        2990.12           3442        70.8182
25        2946.76           3422        71.1387
26        2931.96           3403        71.1904
27        2884.26           3384        70.7566
28         2871.4           3366        70.0532
29        2850.15           3348        70.2574
30        2810.92           3330        70.3553
31        2805.99           3313        70.2676
32        2737.64           3295        70.4023
33        2737.64           3278        70.4554
34        2715.05           3262        69.5407
35        2708.46           3246        69.6056
36        2693.32           3230        70.2215
37         2663.4           3215        69.5917
38        2620.55           3199        69.9606
39        2611.01           3184         69.699
40        2542.05           3168        69.7475
41           2538           3153        69.3242
42        2532.64           3138        69.5003
43        2518.52           3124        68.9399
44        2510.64           3110        68.8453
45        2498.55           3096        69.0772
46        2485.18           3083        68.5736
47        2477.03           3070        68.4305
48         2471.3           3057        68.6423
49        2469.16           3045         68.292
50        2427.08           3033         67.717
51        2405.17           3021        67.2295
52        2405.17           3009        67.1175
53        2404.85           2997         67.335
54        2376.35           2986        66.6526
55        2348.39           2974        66.7852
56        2348.39           2963        66.3873
57        2322.25           2952        65.9816
58        2309.39           2941        65.7114
59        2308.76           2930        65.6898
60        2299.38           2919        65.8045
61        2290.58           2909        65.3079
62        2271.61           2899         64.858
63        2271.61           2889        64.6224
64        2263.98           2879         64.516
65        2242.85           2869        64.4137
66        2242.85           2860        63.8008
67        2242.85           2850        64.0469
68        2227.98           2841        63.6594
69        2227.98           2832        63.4321
70        2228.38           2824        62.7059
71        2194.43           2815        62.5346
72        2184.75           2806        62.4344
73        2184.39           2798        61.8364
74        2184.39           2789        61.9939
75         2178.1           2781        61.6132
76        2175.38           2773        61.3359
77        2171.01           2765        61.1453
78        2166.02           2758        60.4418
79        2155.51           2750        60.3756
80        2143.19           2742         60.336
81        2143.19           2735        59.8192
82        2143.19           2728        59.4013
83         2142.4           2721        59.0728
84        2129.82           2714        58.7671
85         2125.1           2707         58.523
86         2125.1           2700        58.3602
87        2119.52           2693        58.2467
88        2099.36           2687         57.576
89        2099.36           2680        57.5179
90        2092.64           2673        57.4965
91        2092.64           2667        57.0217
92        2092.64           2661        56.6177
93        2087.34           2655        56.2579
94        2076.21           2648        56.4228
95        2076.21           2642        56.1397
96        2059.23           2636        55.8475
97        2059.23           2630        55.6143
98        2059.23           2624         55.437
99        2053.47           2619        54.8052
100        2026.19           2613        54.6121
101        2026.19           2607         54.471
102        2023.79           2601        54.3704
103        2023.56           2596        53.8453
104        2021.11           2590        53.8318
105        2013.57           2585         53.371
106        2010.34           2579        53.4091
107        2004.63           2574        53.0109
108        1997.46           2568        53.0884
109        1995.75           2563        52.7482
110        1985.46           2558        52.4175
111        1985.34           2553        52.1279
112        1976.89           2548        51.8523
113        1976.89           2543        51.6154
114        1976.89           2538        51.4161
115        1976.89           2533        51.2524
116        1974.66           2528        51.1165
117        1974.66           2523        51.0134
118        1961.01           2518        50.9035
119        1954.37           2514        50.3852
120        1952.26           2509        50.3161
121        1952.26           2504        50.2761
122        1950.18           2500        49.8454
123        1931.44           2495        49.8094
124        1931.44           2491        49.3918
125        1931.44           2486         49.412
126        1931.44           2482        49.0534
127        1929.96           2477        49.1215
128        1920.57           2473        48.7915
129        1917.82           2469         48.482
130        1917.82           2464        48.5938
