GEN #         BEST_L         L_MEAN
266        1759.65        1797.52
267        1759.65         1791.4
268        1759.65         1785.9
269        1759.65        1788.03
270        1754.88        1785.41
271        1754.88        1791.13
272         1753.5        1781.94
273         1753.5        1768.67
274         1753.5         1783.8
275         1753.5        1789.92
276         1753.5        1776.54
277        1742.02        1775.63
278        1742.02        1783.08
279        1741.67        1769.73
280        1741.39        1768.46
281        1738.31        1769.43
282        1738.31        1766.66
283        1738.31        1769.92
284        1738.31        1768.15
285        1738.31        1762.22
286        1738.31        1756.48
287        1738.31        1760.45
288         1735.2        1757.74
289         1735.2        1757.23
290         1735.2        1758.02
291         1735.2        1755.11
292         1735.2        1776.34
293         1735.2        1756.96
294        1733.92        1768.92
295        1733.92         1767.5
296        1733.92        1755.57
297        1733.92        1752.08
298        1733.92        1770.39
299        1733.92        1753.81
300        1733.92        1759.87
301        1733.92        1759.49
302        1732.61        1758.01
303        1732.61        1764.63
304        1732.61         1770.6
305        1732.61         1766.7
306        1732.61        1764.34
307        1732.61        1755.68
308        1732.61        1755.79
309        1732.61        1752.61
310        1730.18        1759.08
311        1730.18        1771.31
312        1730.18        1770.14
313        1729.66        1756.17
314        1729.66        1762.89
315        1729.66        1765.86
316        1729.66        1763.88
317        1729.66        1754.88
318        1729.66        1754.77
319        1729.66        1775.35
320        1726.63        1755.72
321        1726.63        1754.89
322        1726.63        1750.85
323        1726.63         1758.7
324        1726.63        1756.58
325        1726.63        1756.45
326        1726.63        1754.86
327        1726.63        1751.35
328        1726.63        1759.67
329        1726.63        1747.95
330        1724.66        1755.05
331        1724.66        1762.69
332        1724.66        1744.49
333        1723.31        1760.98
334        1723.31        1747.68
335        1723.31        1757.22
336        1723.31        1749.04
337        1723.31        1756.92
338        1723.31        1744.58
339        1723.31        1758.71
340        1723.43        1760.27
341         1723.1        1748.77
342         1723.1        1761.13
343         1723.1         1755.3
344         1723.1        1759.85
345        1721.34         1753.4
346        1721.34        1750.75
347        1721.24        1739.01
348        1721.24        1751.53
349        1721.24        1746.09
350        1719.92         1743.3
351        1719.92        1739.87
352        1719.92        1754.91
353        1719.92        1758.27
354        1719.92        1744.73
355        1719.92        1745.08
356        1719.92        1740.63
357        1719.92        1749.84
358        1719.92        1742.72
359        1719.92        1758.86
360        1716.28        1745.78
361        1716.28        1739.96
362         1715.7        1747.17
363         1715.7        1733.39
364         1715.7        1751.25
365         1715.7        1748.43
366        1713.36        1737.04
367        1713.36        1737.06
368        1713.36        1734.42
369        1713.36        1735.84
370        1713.36        1745.41
371        1713.36        1741.24
372        1713.36        1738.71
373        1713.36        1740.24
374        1713.36         1745.6
375        1713.36        1741.21
376        1713.36         1745.5
377        1713.15        1737.85
378        1713.15        1730.19
379        1713.15        1736.11
380        1710.66        1743.07
381        1710.66        1745.21
382        1710.66        1734.98
383        1710.21        1731.44
384        1709.78        1728.35
385        1709.78        1734.17
386        1709.78        1739.77
387        1709.78        1736.91
388        1709.78        1731.67
389        1709.78        1727.46
390        1709.78         1739.6
391        1709.78        1727.12
392         1709.3        1736.94
393         1709.3        1729.02
394         1709.3         1730.6
395         1709.3        1734.63
396         1709.3        1727.43
397        1707.94        1725.65
398        1707.94        1728.12
399        1707.94        1723.73
400        1708.03        1747.05
401        1708.03        1737.62
402        1708.03         1741.5
403        1708.03        1726.96
404        1708.03        1734.39
405        1708.03        1725.36
406        1708.03        1735.74
407        1707.37        1734.89
408        1707.37        1727.81
409        1706.57        1734.78
410        1702.29        1732.84
411        1702.29        1740.69
412        1702.29        1739.74
413        1702.29        1727.28
414        1702.29         1728.6
415        1702.29        1739.15
416        1702.29        1727.91
417        1702.29        1741.81
418        1702.29        1746.47
419        1702.29        1733.76
420        1700.86        1728.37
421        1700.86        1736.09
422        1700.86        1719.03
423        1700.86        1729.96
424        1700.86        1723.91
425        1700.86        1730.28
426        1700.86        1729.65
427        1700.86        1745.33
428        1700.86        1730.83
429        1699.81        1727.74
430         1699.5        1723.69
431         1699.5        1723.65
432         1699.5         1730.2
433         1699.5         1729.1
434         1699.5        1733.28
435         1699.5        1734.49
436         1699.5        1723.22
437         1699.5         1741.8
438         1699.5        1725.17
439         1699.5        1721.79
440         1696.2        1724.14
441        1695.61         1725.1
442        1695.61        1733.51
443        1695.61        1723.33
444        1695.61        1722.12
445        1693.95        1723.54
446        1693.95        1718.61
447        1693.95         1718.5
448        1693.95        1717.83
449        1693.95        1723.23
450        1693.95        1726.15
451        1693.95        1715.56
452        1693.95           1720
453        1693.95        1719.67
454        1693.95        1727.79
455        1693.95        1723.77
456        1693.95        1720.86
