GEN #         BEST_L         L_MEAN
1        4751.78        5015.91
2        4454.47        4764.08
3        4368.95        4523.52
4        4223.37        4397.27
5        4185.45        4299.42
6        4096.23         4200.5
7        4019.47         4129.4
8         3936.2        4042.94
9        3854.51        3972.01
10        3748.48        3893.79
11        3582.75        3786.66
12        3529.65        3695.28
13        3478.73        3567.35
14        3424.54        3507.03
15        3396.02        3448.09
16        3348.77        3406.85
17        3309.33         3365.1
18        3255.95         3329.9
19        3180.49        3297.07
20        3180.49        3262.47
21         3150.4        3217.99
22        3135.15        3185.65
23        3084.89        3147.73
24        3068.31        3114.83
25         2974.8        3081.39
26        2963.59        3039.67
27        2933.35        2991.11
28        2854.93         2951.6
29        2844.76        2916.69
30        2810.05        2879.88
31        2794.32        2843.32
32        2773.92        2809.67
33        2750.86        2791.91
34        2742.54        2777.17
35        2708.96        2757.38
36        2694.74        2741.73
37        2694.74         2725.9
38        2665.64        2709.77
39        2625.73         2687.4
40        2620.15        2668.63
41        2596.23        2643.07
42        2591.39        2629.73
43        2547.56        2616.62
44        2545.01        2595.34
45        2523.74         2573.3
46        2506.54        2554.12
47        2503.14        2540.64
48        2499.24        2529.64
49        2470.21         2512.2
50        2464.11        2501.55
51         2454.9        2489.41
52        2431.34        2479.44
53        2421.93        2468.71
54        2406.99        2451.47
55        2395.85        2441.85
56        2359.11        2429.25
57        2359.11        2412.47
58        2353.34        2404.84
59        2353.34        2393.08
60        2336.14        2383.46
61        2336.14        2364.23
62        2313.16        2350.38
63        2313.16        2359.03
64        2295.12        2334.48
65        2293.84        2325.17
66        2283.84        2324.85
67        2271.71        2313.24
68         2265.5        2301.09
69        2244.28        2292.09
70        2240.04        2284.52
71        2235.55        2276.71
72         2231.8        2267.52
73         2231.8        2261.16
74        2184.08        2258.28
75        2182.21        2234.92
76        2182.21           2234
77        2169.56        2201.98
78        2168.83        2200.53
79        2153.42        2195.65
80        2152.72        2184.18
81        2146.77        2187.47
82        2146.77        2188.86
83        2145.71        2178.53
84        2145.71        2168.13
85        2140.25        2171.02
86        2136.31        2160.15
87        2115.59        2155.58
88        2115.59        2146.99
89        2106.76        2135.32
90         2106.3        2130.93
91         2100.3         2130.7
92        2097.57        2129.35
93        2088.22        2122.82
94        2088.22        2119.51
95        2079.32        2108.23
96        2047.43        2110.33
97        2047.43        2099.56
98        2045.58        2088.22
99        2045.58        2074.76
100        2033.07        2057.93
101        2031.47        2056.41
102        2031.26        2052.76
103        2021.02        2047.62
104        2021.02        2055.25
105        2021.02        2056.04
106        2021.02        2049.01
107        2015.91        2050.82
108        2009.79        2042.05
109        2003.87        2036.14
110        2003.87        2035.93
111        2000.03        2030.18
112        1993.36        2028.65
113        1987.67        2017.78
114        1987.67        2026.73
115        1987.08        2014.78
116        1986.21        2026.17
117        1983.49        2009.46
118        1974.96         2006.6
119         1973.7        2006.23
120        1971.55        1998.65
121         1971.2        1993.29
122         1968.2        1996.39
123         1968.2        2002.42
124        1952.96        1983.11
125        1935.39        1999.51
126        1929.42        1976.09
127        1927.27        1970.58
128        1927.27        1964.17
