GEN #         BEST_L         L_MEAN
1        4443.35        4974.92
2        4258.89        4468.72
3        4236.41        4363.58
4        4139.46        4253.22
5        3942.06        4172.57
6        3920.04        4076.76
7        3865.44        3941.11
8        3812.06        3877.58
9        3778.68        3841.09
10         3725.4        3789.35
11        3635.95        3731.22
12        3523.53        3658.54
13        3500.23        3608.94
14        3424.18        3537.24
15        3394.09        3488.49
16         3351.5        3426.57
17        3331.94         3399.8
18         3316.1         3357.5
19        3222.65        3326.47
20        3136.89        3279.27
21        3136.89        3230.24
22        3134.64        3195.96
23        3101.09        3155.34
24        3080.69        3126.62
25        3047.66        3100.73
26        2986.67        3070.23
27        2941.74        3035.22
28        2891.81        2985.87
29        2848.44        2949.65
30        2839.93        2910.66
31        2835.84        2880.54
32        2802.44        2852.97
33        2741.73        2846.74
34        2715.76         2804.5
35        2715.76        2770.74
36        2711.77         2745.9
37         2686.1        2724.48
38        2673.22         2713.2
39         2627.5        2700.16
40        2622.08        2684.66
41         2590.4        2666.19
42        2574.28        2632.25
43        2542.12        2598.01
44        2520.97        2573.69
45        2518.42        2556.06
46        2498.72        2542.04
47        2491.83        2525.28
48        2460.83        2510.75
49        2440.41        2494.29
50        2430.04        2476.12
51        2413.69        2452.73
52        2395.78        2450.26
53        2378.07        2422.84
54        2375.83        2416.47
55        2368.14        2407.81
56        2359.82        2393.48
57        2352.78        2389.99
58        2350.98        2384.99
59        2345.29        2372.34
60        2338.34        2360.65
61        2327.51        2349.04
62        2319.71        2341.92
63        2307.41        2333.88
64        2302.69        2331.03
65        2300.54         2329.9
66        2281.38        2326.22
67        2276.08         2318.7
68        2260.31        2300.96
69        2260.31        2289.76
70        2259.44        2279.32
71        2231.93        2274.42
72        2221.95         2261.2
73        2219.74        2247.17
74        2209.83        2240.31
75        2208.89        2246.42
76        2199.71         2228.1
77        2195.26        2223.92
78        2194.49        2230.23
79        2193.62        2219.15
80        2188.34        2223.57
81        2177.87        2211.91
82        2177.87        2211.32
83        2168.59        2204.33
84        2168.59        2202.77
85        2160.77        2198.42
86        2139.49        2192.09
87        2139.49        2183.04
88        2139.49           2173
89        2136.78        2161.14
90         2122.1         2157.6
91         2122.1        2154.93
92         2122.1         2147.4
93         2122.1         2143.6
94        2099.13        2141.66
95        2099.13        2133.67
96        2097.39        2123.42
97        2097.39        2117.82
98         2084.5        2125.59
99         2084.5        2116.31
100        2084.24        2111.56
101        2084.24         2109.3
102         2075.1        2105.63
103        2067.96        2104.93
104        2067.96        2104.29
105        2059.52        2091.32
106        2059.52        2092.32
107        2033.05        2089.85
108        2021.57        2079.59
109        2021.57        2075.81
110        2009.28        2053.69
111        2009.28        2047.97
112         1993.2           2037
113         1993.2        2033.34
114        1992.45        2024.82
115        1992.45        2018.98
116        1992.45        2029.16
117        1990.13        2017.96
118        1987.61        2016.87
119        1986.85        2008.74
120        1986.85        2014.61
121        1986.85        2004.42
122        1984.12        2009.65
123        1984.12        2018.15
124        1984.12        2008.06
125        1971.73         2001.2
126        1971.73        2008.15
127        1971.73        2011.37
128        1971.73        2011.95
129        1971.73        1994.21
130        1953.18        2004.38
131        1953.18        1985.28
132        1953.18        1979.74
133        1953.18        1988.66
134        1953.18        1977.17
135           1944        1974.49
136        1941.83        1969.09
137        1941.83         1991.8
138        1941.46        1966.36
139         1940.2        1962.75
140        1935.01        1959.18
