GEN #         BEST_L         L_MEAN
1        4747.18        5040.68
2        4559.07         4839.7
3        4106.59        4663.34
4        4017.57        4403.79
5        3999.07        4090.32
6        3921.67        4005.06
7        3779.02         3942.2
8        3724.51        3853.51
9        3636.14        3762.26
10        3611.95        3708.27
11        3569.03        3645.55
12        3514.53        3604.42
13        3475.23        3551.74
14        3438.39        3498.25
15        3342.03         3461.1
16        3285.06         3416.3
17        3244.96        3339.56
18        3225.12        3289.54
19        3175.59        3253.39
20        3141.46        3222.74
21        3092.97        3176.21
22        3042.41         3125.2
23        3005.03        3085.65
24        3001.06        3060.96
25           2979        3029.39
26        2969.66        3003.35
27         2926.1        2981.28
28        2878.14        2947.05
29           2863         2911.1
30        2750.01        2870.91
31        2750.01        2838.29
32        2750.01        2795.56
33        2707.86        2769.05
34        2686.78        2754.77
35        2661.87        2720.11
36        2658.55        2693.77
37        2658.55        2690.13
38        2640.99        2672.35
39        2638.05        2666.07
40        2533.35        2646.11
41        2515.65        2604.43
42        2493.77        2544.84
43        2489.28        2539.14
44        2472.28        2530.04
45        2469.85        2508.76
46        2465.89        2499.79
47        2442.32        2483.88
48        2432.73        2475.23
49        2432.73        2462.18
50        2349.13        2454.86
51        2339.66        2410.68
52        2334.93        2369.38
53        2334.93        2361.33
54        2307.99        2345.47
55        2307.99        2343.08
56           2299        2333.04
57        2296.75        2318.31
58        2260.78        2327.25
59        2260.78        2316.07
60        2253.59        2311.04
61        2248.42        2289.03
62        2248.42        2276.92
63         2243.5        2269.94
64        2242.65        2268.18
65        2239.94        2261.63
66        2234.87        2251.13
67         2227.6        2253.88
68        2206.71        2264.66
69        2203.53        2238.37
70        2200.24        2225.12
71        2199.44        2219.36
72        2199.17        2234.35
73        2198.89        2220.46
74        2198.19        2225.85
75        2194.33        2231.35
76           2176        2218.09
77        2173.33        2218.64
78        2173.33        2194.75
79        2167.41        2205.68
80        2148.36        2200.82
81        2148.36        2197.19
82        2146.11         2175.6
83         2143.5        2170.03
84         2141.6        2164.23
85         2140.6        2160.99
86        2138.93        2168.68
87        2126.07        2159.57
88        2109.74        2160.44
89         2109.6        2148.55
90        2094.48         2154.3
91        2081.05        2132.83
92        2078.89        2119.09
93        2078.89        2118.11
94        2078.89        2102.32
95        2076.21        2095.66
96        2066.58        2093.57
97        2066.58        2090.38
98         2063.1        2087.31
99         2063.1        2087.45
100        2051.04        2096.43
101        2046.52        2072.46
102        2046.52        2072.21
103        2046.52        2070.22
104        2046.52        2064.35
105        2046.52        2065.18
106        2046.52         2069.1
107        2046.52        2084.51
108        2046.52        2066.54
109        2037.85        2062.53
110        2009.48        2060.75
111        2008.58         2040.8
112        2008.58        2036.89
113        2000.07        2025.04
114        2000.07        2032.58
115        1998.73         2013.8
116        1998.73         2018.6
117        1987.31        2029.36
118         1984.8        2015.58
119        1975.43        2003.81
120        1973.22        2007.14
121        1973.22        2008.79
122        1973.22        2006.06
123        1973.22        1997.35
124        1973.22        1995.23
125        1949.41        1986.82
126        1949.41        1990.09
127        1949.41        1988.04
128        1945.85        1982.75
129        1943.94        1968.66
130        1943.49        1968.58
131        1943.49        1966.42
132        1942.72        1969.98
133        1939.03        1964.33
134        1934.28        1966.51
135        1923.91        1959.54
136        1923.91        1958.07
137        1923.91        1951.64
138        1923.91        1964.48
139        1923.91        1958.25
140        1914.44        1936.52
141        1914.44        1957.51
142        1914.44        1942.06
143        1913.36        1939.97
144        1913.36        1941.72
145        1913.36        1949.93
146        1913.36         1949.7
147        1913.36        1948.38
148        1912.25        1934.94
149         1910.2        1948.74
150        1904.69           1937
151         1904.6        1929.45
152         1904.6        1926.47
153        1902.52        1922.39
154        1902.39        1926.15
155        1899.41        1929.41
156        1897.34        1918.22
157        1896.08        1923.85
158        1896.08        1919.96
159        1895.58        1917.35
160        1882.01        1928.97
161        1882.01        1931.18
162        1882.01        1912.87
163         1878.7        1915.33
164         1878.7        1920.38
165         1878.7        1911.42
166         1878.7        1899.01
167        1870.18        1901.67
168        1870.18        1903.24
169        1870.18        1904.11
170        1864.32        1896.19
171        1864.32        1893.89
172        1864.32        1886.54
173        1862.29         1879.6
174        1862.29        1883.82
175        1859.37         1889.4
176        1859.37        1885.01
177        1859.37        1887.56
178        1859.37        1887.71
179        1859.11        1884.04
180        1850.12        1872.65
181        1850.12        1886.18
182        1850.12        1877.76
183        1847.15         1878.3
184        1844.08        1880.56
185        1843.56        1864.99
186        1843.56        1874.99
187        1839.22        1870.43
188        1839.22        1863.21
189         1837.4           1888
190        1839.22        1868.32
191        1839.22        1857.63
192        1838.85        1872.41
193        1837.15        1873.43
194        1837.15        1858.98
195        1836.54        1881.89
196        1836.54         1861.2
197        1834.31        1864.08
198        1831.28         1861.1
199        1831.28        1849.74
200        1820.83        1854.63
201        1820.83        1850.44
202        1820.83        1854.98
203        1820.83        1858.48
204        1820.83         1847.6
205        1820.83        1843.03
206        1820.83        1834.09
207        1820.83        1845.64
208        1820.09        1851.78
209        1820.09        1840.85
210        1816.57        1841.34
211        1816.57        1845.51
212        1815.12         1834.3
213        1809.87        1829.44
214        1809.87        1838.97
215        1809.87        1829.81
216        1809.87        1847.46
217        1809.87        1853.63
218        1809.84         1831.3
219        1809.84        1839.14
220        1798.84        1825.05
221        1798.84        1836.01
222        1798.65        1827.32
223        1798.65        1845.81
224        1798.65        1844.63
225        1798.65         1824.4
226        1797.78        1835.58
227         1794.5        1823.09
228         1794.5        1821.13
229        1793.26         1822.5
230        1784.85        1815.12
231        1784.33        1807.86
232        1784.33        1815.92
233        1784.33         1807.7
234        1784.33        1807.37
235        1783.92        1812.02
236        1781.84        1808.99
237        1781.84        1802.54
238        1781.84           1802
239        1781.84        1811.99
240        1779.42        1820.61
241        1779.42        1808.06
242        1779.42        1801.77
243        1779.42        1799.42
244        1779.42        1800.33
245        1779.42        1804.16
246        1778.97        1805.14
247        1778.97        1815.67
248        1778.69        1808.56
249        1778.69        1795.99
250        1769.18        1821.49
251        1769.18        1794.38
252        1769.18        1800.58
253        1769.18        1809.37
254        1768.26        1794.69
255        1768.26        1803.66
256        1767.34        1795.18
257        1766.48        1786.74
258        1766.48        1795.88
259        1766.48        1792.78
260        1756.71        1797.71
261        1756.71        1791.88
262        1756.71        1787.33
263        1756.71        1785.14
264        1756.71        1784.46
265        1756.71         1795.8
266        1756.71        1784.77
267        1756.71         1791.1
268        1756.71        1777.09
269        1756.71        1779.61
270        1747.82        1771.12
271        1747.82        1779.21
272        1747.82        1772.28
273        1747.82        1766.42
274        1742.47        1774.98
275        1742.47        1780.79
276        1742.47        1781.39
277        1742.47        1774.79
278        1742.47        1783.59
279        1742.47        1777.27
280        1743.47        1766.81
281        1743.47         1782.5
282        1743.47        1781.87
283        1743.47        1773.15
284        1743.47        1782.52
285        1743.47        1762.34
286        1741.99           1781
287        1741.99        1777.72
288        1741.99        1785.48
289        1741.99        1771.28
290        1738.48        1777.41
291        1738.48        1772.27
292        1738.48        1763.99
293        1738.48        1770.39
294        1738.48        1780.18
295        1738.48        1768.77
296        1738.48        1778.59
297        1738.48         1766.8
298        1738.48        1765.54
299        1737.66         1771.1
300        1735.86        1756.83
301        1735.86        1766.66
302        1735.86        1782.67
303        1735.86        1753.05
304        1735.86         1754.5
305         1732.6        1761.85
306         1732.6        1763.86
307         1732.6        1762.12
308         1732.6        1757.68
309         1732.6        1781.66
310        1728.81        1761.59
311        1728.81        1780.29
312        1728.81        1758.16
313        1728.81        1746.32
314        1728.81        1766.43
315        1728.81         1776.2
316        1728.81        1748.19
317        1728.81        1750.65
318        1726.63        1747.79
319        1726.63        1756.92
320        1728.72        1764.94
321        1728.72        1768.78
322        1728.72         1773.1
323        1728.72        1758.04
324         1727.8        1757.78
325        1727.59        1740.61
326        1727.59        1760.17
327        1727.59        1760.05
328        1727.04        1753.86
329        1727.04        1756.15
330        1727.04         1756.6
331        1727.04        1758.59
332        1727.04           1761
333        1727.04        1753.44
334        1723.96        1744.91
335        1723.96        1769.88
336        1723.96        1763.18
337        1723.96        1748.89
338        1723.96        1759.23
339        1723.96        1756.99
340        1723.31         1774.2
341        1723.31        1737.97
342        1723.31        1753.56
343        1722.73        1752.18
344        1722.73        1756.72
345        1722.73        1747.28
346        1722.73        1749.66
347        1720.79        1748.87
348        1720.79         1755.9
349        1720.79        1750.79
350        1716.25        1750.75
351        1716.25        1743.46
352        1716.17        1747.16
353        1715.54        1748.79
354        1715.54        1737.98
355        1715.54        1738.91
356        1715.54        1745.89
357        1715.54        1738.74
358        1715.54        1745.29
359        1713.51        1733.13
360        1713.51        1733.35
361        1713.51        1737.79
362        1713.51        1745.23
363        1713.51        1747.05
364        1713.51        1736.97
365        1713.51         1740.8
366        1713.51        1744.68
367        1713.51        1732.51
368        1713.51        1735.11
369        1713.51        1749.93
370        1711.81        1738.93
371        1711.43        1731.77
372        1711.43        1742.49
373        1711.43        1741.97
374        1711.43        1732.11
375        1711.43        1739.24
376        1711.43        1736.45
377        1711.43        1741.07
378        1711.43        1738.77
379        1711.43         1740.4
380        1711.73        1732.59
381        1711.73        1728.06
382        1711.73        1744.11
383        1710.82        1750.79
384        1710.82        1725.72
385        1710.82        1732.64
386        1710.82        1736.42
387        1710.82        1731.29
388        1710.82        1729.95
389        1710.82        1727.32
390        1708.92        1729.23
391        1708.92        1729.46
392        1708.92        1731.21
393        1708.92        1736.12
394        1708.01        1732.95
395        1708.01        1729.65
396        1707.53         1730.8
397        1707.53        1735.69
398        1707.53         1738.4
399        1707.53        1736.36
400        1708.01        1724.14
401        1708.01        1726.34
402        1708.01        1729.23
403        1708.01        1730.47
404        1708.01        1746.73
405        1708.01         1733.7
406        1708.01        1744.24
407        1708.01        1739.23
408         1706.9        1723.45
409         1706.9        1744.97
410        1703.91         1728.2
411        1703.91         1738.2
412        1703.91        1750.79
413        1703.91        1729.97
414        1703.91        1750.59
415        1703.91        1749.52
416        1703.76        1732.81
417        1703.76        1739.93
418        1703.11        1722.43
419        1703.11        1736.49
420        1701.97        1738.39
421        1701.97        1724.25
422        1700.43        1729.83
423        1700.43        1720.38
424        1700.43        1729.98
425        1700.18        1733.27
426        1699.78        1725.63
427        1699.78         1721.3
428        1699.78        1728.59
429        1699.78        1725.27
430        1700.18        1721.15
431        1700.18         1727.5
432        1700.18        1738.33
433        1700.18        1744.43
434        1699.14        1723.07
435        1699.14        1738.98
436        1699.14        1727.32
437        1698.19        1732.98
438        1698.19        1714.24
439        1698.19        1746.54
