#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36719     1.36719           0
           2     1.37355     1.37037   0.0022486
           3     1.38466     1.37513  0.00416662
           4      1.3033     1.35718   0.0158632
           5     1.34489     1.35472   0.0128794
           6     1.34066     1.35238   0.0109439
           7     1.34553      1.3514  0.00942403
           8     1.38047     1.35503  0.00891913
           9      1.3401     1.35337  0.00808086
          10        1.37     1.35504  0.00744195
          11     1.32656     1.35245   0.0072016
          12     1.29982     1.34806  0.00782386
          13     1.33364     1.34695   0.0073002
          14     1.37417      1.3489   0.0070329
          15     1.44283     1.35516  0.00892671
          16     1.33608     1.35397  0.00844806
          17     1.37047     1.35494  0.00800671
          18     1.34995     1.35466  0.00756669
          19     1.33637      1.3537  0.00722943
          20       1.306     1.35131  0.00725072
          21       1.416     1.35439  0.00753133
          22      1.3618     1.35473  0.00719652
          23      1.3797     1.35582  0.00696506
          24     1.37552     1.35664  0.00672305
          25     1.36206     1.35685  0.00645762
          26     1.35418     1.35675  0.00621007
          27     1.39531     1.35818  0.00614207
          28     1.35237     1.35797  0.00592621
          29     1.34853     1.35765  0.00573079
          30     1.34916     1.35736  0.00554675
