#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.203528    0.203528           0
           2    0.198918    0.201223  0.00162991
           3    0.205416     0.20262  0.00157573
           4    0.195874    0.200934  0.00187881
           5    0.198536    0.200454  0.00156306
           6    0.199708     0.20033  0.00130749
           7    0.192703     0.19924  0.00150781
           8    0.196132    0.198852  0.00136847
           9     0.19687    0.198632    0.001234
          10    0.196024    0.198371  0.00113782
          11    0.197983    0.198336  0.00103493
          12     0.19233    0.197835  0.00106281
          13    0.197327    0.197796 0.000981779
          14    0.196308     0.19769 0.000917387
          15    0.199604    0.197817 0.000865062
          16    0.202269    0.198096 0.000854567
          17    0.195245    0.197928 0.000820589
          18    0.199442    0.198012 0.000779299
          19     0.19613    0.197913 0.000744549
          20     0.19578    0.197806 0.000714923
          21    0.192163    0.197538 0.000729646
          22    0.192715    0.197318 0.000728666
          23    0.196929    0.197302 0.000697181
          24    0.197617    0.197315 0.000668256
          25    0.195551    0.197244 0.000645237
          26    0.199939    0.197348 0.000628688
          27    0.194798    0.197253 0.000612457
          28    0.198201    0.197287 0.000591518
          29    0.195908     0.19724 0.000573029
          30    0.193648     0.19712 0.000566294
