#     BLOCK:   ACCEPTANCE:
           1    0.535468
           2    0.533549
           3    0.533363
           4    0.534161
           5    0.534434
           6    0.533947
           7    0.534025
           8    0.534032
           9    0.533874
          10     0.53404
          11    0.533903
          12    0.533864
          13    0.533803
          14    0.533742
          15    0.533685
          16    0.533746
          17    0.533715
          18    0.533607
          19    0.533654
          20     0.53375
          21     0.53359
          22    0.533678
          23    0.533543
          24    0.533536
          25    0.533479
          26    0.533521
          27    0.533535
          28    0.533603
          29    0.533589
          30    0.533587
