#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02984     0.02984           0
           2    0.024484    0.027162  0.00189363
           3    0.024596   0.0263067  0.00144272
           4     0.03048     0.02735  0.00140969
           5    0.020964   0.0260728  0.00160524
           6    0.016396     0.02446  0.00198923
           7     0.02838     0.02502  0.00178214
           8    0.031588    0.025841  0.00173823
           9    0.037932   0.0271844   0.0019979
          10    0.029268   0.0273928  0.00180894
          11    0.040688   0.0286015  0.00200808
          12    0.027756    0.028531  0.00184198
          13    0.034628       0.029  0.00175898
          14      0.0292   0.0290143   0.0016334
          15    0.017736   0.0282624  0.00168872
          16    0.033248    0.028574  0.00161166
          17      0.0299    0.028652  0.00151875
          18    0.033896   0.0289433  0.00146205
          19    0.021896   0.0285724  0.00143137
          20    0.025112   0.0283994  0.00137022
          21    0.020472   0.0280219  0.00135598
          22    0.026124   0.0279356  0.00129708
          23    0.025432   0.0278268  0.00124525
          24    0.024824   0.0277017  0.00119963
          25    0.024608   0.0275779  0.00115801
          26    0.029568   0.0276545    0.001116
          27    0.031276   0.0277886  0.00108269
          28    0.028112   0.0278001  0.00104409
          29    0.030056   0.0278779  0.00101098
          30      0.0216   0.0276687 0.000998703
