#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.38679     4.38679           0
           2     4.27075     4.32877   0.0410287
           3     4.78679     4.48144    0.127622
           4       4.452     4.47408   0.0959285
           5     4.53736     4.48674   0.0775731
           6     4.62807     4.51029   0.0681267
           7     4.41058     4.49605    0.059865
           8     4.42894     4.48766   0.0529663
           9     4.27969     4.46455   0.0518773
          10     4.46689     4.46479   0.0466901
          11     4.41561     4.46031   0.0426591
          12     4.42935     4.45773   0.0391821
          13     4.46631     4.45839   0.0361737
          14     4.42869     4.45627    0.033652
          15     4.16147     4.43662   0.0367016
          16     4.55244     4.44386   0.0351144
          17     4.26719     4.43346   0.0345525
          18     4.46907     4.43544   0.0326895
          19     4.49413     4.43853   0.0311146
          20     4.00899     4.41705   0.0362206
          21     4.18843     4.40617    0.036095
          22     4.20165     4.39687   0.0356313
          23     4.30648     4.39294   0.0342981
          24     4.33611     4.39057   0.0329507
          25     4.26385      4.3855   0.0320202
          26     4.23046     4.37954    0.031339
          27     4.38164     4.37962   0.0301784
          28     4.19445     4.37301   0.0298164
          29     4.47233     4.37643   0.0289843
          30     4.30211     4.37395   0.0281238
