#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.372235    0.372235           0
           2     0.36446    0.368347  0.00274913
           3    0.366153    0.367616  0.00192763
           4    0.375518    0.369591   0.0022399
           5    0.367399    0.369153  0.00183435
           6    0.370815     0.36943  0.00154941
           7    0.373622    0.370029  0.00143914
           8     0.37674    0.370868  0.00148371
           9    0.375223    0.371352  0.00139553
          10    0.372995    0.371516  0.00126562
          11    0.372325    0.371589  0.00115269
          12    0.387843    0.372944  0.00167276
          13     0.37177    0.372854  0.00154652
          14    0.366562    0.372404  0.00149994
          15    0.358436    0.371473  0.00166407
          16    0.389154    0.372578  0.00189175
          17    0.363261     0.37203  0.00185816
          18    0.387509     0.37289  0.00194377
          19    0.366683    0.372563  0.00186871
          20    0.374646    0.372667  0.00177818
          21    0.370213     0.37255  0.00169734
          22    0.370161    0.372442  0.00162366
          23    0.363168    0.372039  0.00160236
          24    0.353786    0.371278  0.00170655
          25    0.366842    0.371101  0.00164749
          26    0.377643    0.371352  0.00160322
          27    0.382106    0.371751  0.00159255
          28    0.367071    0.371583  0.00154442
          29    0.385755    0.372072  0.00156657
          30    0.361642    0.371724  0.00155245
