#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.455414    0.455414           0
           2    0.427348    0.441381  0.00992303
           3     0.42319    0.435317  0.00826286
           4    0.416381    0.430583  0.00743059
           5    0.444282    0.433323  0.00642976
           6    0.430233    0.432808  0.00537872
           7    0.466114    0.437566  0.00637648
           8    0.421933    0.435612  0.00587121
           9     0.43595     0.43565  0.00521897
          10    0.440914    0.436176  0.00472356
          11    0.439193     0.43645   0.0043021
          12    0.423108    0.435338  0.00408473
          13    0.416633      0.4339  0.00401597
          14    0.415534    0.432588  0.00393756
          15    0.441474     0.43318  0.00371935
          16    0.425871    0.432723  0.00351484
          17    0.436654    0.432954  0.00331568
          18     0.45341    0.434091  0.00332051
          19    0.422917    0.433503  0.00319741
          20    0.449794    0.434317  0.00313958
          21    0.433582    0.434282  0.00299027
          22    0.413181    0.433323  0.00300425
          23    0.407426    0.432197   0.0030774
          24    0.434102    0.432277   0.0029502
          25    0.420706    0.431814  0.00286827
          26    0.428827    0.431699  0.00276025
          27    0.452312    0.432462  0.00276158
          28    0.437886    0.432656  0.00266974
          29    0.419784    0.432212  0.00261431
          30     0.44248    0.432554  0.00254948
