#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.800456   -0.800456           0
           2    -0.81008   -0.805268   0.0034026
           3   -0.800024    -0.80352  0.00268004
           4   -0.804408   -0.803742  0.00201921
           5   -0.803928   -0.803779  0.00161571
           6   -0.802224    -0.80352  0.00136706
           7   -0.807568   -0.804098  0.00128828
           8   -0.803904   -0.804074  0.00112747
           9   -0.807376   -0.804441  0.00106021
          10   -0.806368   -0.804634  0.00097155
          11   -0.808576   -0.804992 0.000947029
          12   -0.803584   -0.804875 0.000875348
          13   -0.802528   -0.804694 0.000826416
          14   -0.804064   -0.804649 0.000768612
          15   -0.803504   -0.804573 0.000721152
          16   -0.800312   -0.804307  0.00072358
          17   -0.801432   -0.804137 0.000700494
          18   -0.806744   -0.804282  0.00067638
          19    -0.80548   -0.804345 0.000643713
          20   -0.806528   -0.804454  0.00062071
          21   -0.804592   -0.804461 0.000591187
          22   -0.803136   -0.804401 0.000567374
          23   -0.809296   -0.804614 0.000581257
          24   -0.807992   -0.804754  0.00057383
          25   -0.802872   -0.804679 0.000555795
          26   -0.801456   -0.804555 0.000548068
          27   -0.808648   -0.804707 0.000548333
          28    -0.80808   -0.804827 0.000541823
          29   -0.804096   -0.804802 0.000523726
          30    -0.80732   -0.804886  0.00051295
