#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.5635     10.5635           0
           2     10.3278     10.4456   0.0833317
           3     9.22757     10.0396    0.336132
           4     9.20957      9.8321    0.309594
           5     11.0483     10.0753    0.329659
           6     8.81164     9.86472    0.335312
           7     9.76332     9.85023    0.287723
           8     9.82506     9.84709    0.251775
           9     10.8232     9.95554    0.246053
          10     10.8524     10.0452    0.237229
          11     11.2342     10.1533    0.239021
          12     9.53167     10.1015    0.224646
          13     9.73717     10.0735    0.209107
          14     9.38975     10.0246    0.199792
          15      11.116     10.0974     0.19928
          16     10.5047     10.1229    0.188444
          17     9.92952     10.1115    0.177702
          18     11.4644     10.1866    0.183035
          19     10.5908     10.2079    0.174634
          20     9.71345     10.1832    0.167643
          21     10.4535     10.1961    0.160153
          22     9.56167     10.1672    0.155448
          23     9.75244     10.1492    0.149732
          24     10.6033     10.1681    0.144683
          25     8.60061     10.1054    0.151875
          26     9.13988     10.0683    0.150506
          27     10.2852     10.0763    0.145146
          28     11.0519     10.1112    0.144083
          29     9.86917     10.1028    0.139356
          30     10.2614     10.1081    0.134811
