#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.21522     0.21522           0
           2    0.187708    0.201464  0.00972696
           3    0.214772      0.2059   0.0074276
           4    0.218212    0.208978  0.00617562
           5    0.295304    0.226243   0.0162135
           6    0.191076    0.220382   0.0145321
           7    0.177228    0.214217   0.0137015
           8    0.155232    0.206844   0.0138311
           9    0.200108    0.206096   0.0123145
          10    0.111292    0.196615   0.0142732
          11     0.22058    0.198794   0.0131408
          12    0.176816    0.196962   0.0121727
          13    0.192548    0.196623   0.0112411
          14    0.169252    0.194668   0.0106068
          15    0.285348    0.200713   0.0114941
          16    0.210836    0.201346   0.0107931
          17    0.171832     0.19961   0.0102969
          18      0.1686    0.197887  0.00986791
          19    0.184716    0.197194  0.00937286
          20    0.240892    0.199379  0.00915534
          21    0.183396    0.198618  0.00875095
          22    0.186724    0.198077  0.00836986
          23    0.206332    0.198436  0.00801365
          24    0.199932    0.198498  0.00767999
          25     0.23342    0.199895  0.00749875
          26    0.197892    0.199818  0.00721073
          27    0.225048    0.200752  0.00700395
          28    0.200104    0.200729  0.00675385
          29    0.216592    0.201276  0.00654307
          30    0.192072    0.200969  0.00633216
