#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         169     1.16433     1.12382  0.00989796
         170     1.17667     1.12413  0.00984462
         171     1.18392     1.12448  0.00979326
         172     1.15105     1.12463  0.00973754
         173     1.08349      1.1244  0.00968416
         174     1.07577     1.12412  0.00963253
         175     1.11043     1.12404  0.00957781
         176     1.12131     1.12402   0.0095234
         177     1.10978     1.12394  0.00946993
         178     1.09681     1.12379  0.00941796
         179     1.12547      1.1238  0.00936535
         180     1.15787     1.12399  0.00931523
         181     1.13276     1.12404  0.00926389
         182     1.09257     1.12386  0.00921461
         183     1.09181     1.12369  0.00916592
         184     1.11344     1.12363  0.00911627
         185     1.12836     1.12366  0.00906703
         186     1.14047     1.12375  0.00901873
         187     1.15969     1.12394  0.00897255
         188     1.16068     1.12414  0.00892695
         189     1.15372     1.12429  0.00888109
         190     1.16027     1.12448  0.00883637
         191     1.16557      1.1247  0.00879272
         192     1.16386      1.1249  0.00874929
         193     1.16612     1.12512  0.00870657
         194     1.16098      1.1253  0.00866365
         195     1.14872     1.12542  0.00862005
         196     1.14783     1.12553  0.00857683
         197     1.15189     1.12567  0.00853434
         198     1.14533     1.12577  0.00849181
         199     1.12264     1.12575  0.00844916
         200      1.0957      1.1256  0.00840825
         201     1.08964     1.12542  0.00836832
         202     1.10467     1.12532  0.00832752
         203     1.11995     1.12529  0.00828654
         204     1.12527     1.12529  0.00824592
         205     1.13613     1.12535  0.00820587
         206     1.15528     1.12549  0.00816732
         207     1.15731     1.12565  0.00812931
         208     1.13136     1.12567  0.00809027
         209     1.09209     1.12551  0.00805316
         210     1.07483     1.12527  0.00801842
         211     1.08245     1.12507  0.00798299
         212     1.07412     1.12483  0.00794895
         213     1.02951     1.12438  0.00792422
         214    0.980813     1.12371  0.00791554
         215      1.0047     1.12316  0.00789805
         216     1.07554     1.12294  0.00786456
         217     1.11343     1.12289  0.00782844
         218     1.11084     1.12284  0.00779273
         219     1.07387     1.12261  0.00776035
         220     1.02316     1.12216  0.00773823
         221     1.00226     1.12162  0.00772221
         222     1.02348     1.12118  0.00770007
         223     1.05031     1.12086   0.0076721
         224     1.05032     1.12054  0.00764431
         225     1.04211     1.12019  0.00761828
         226     1.04888     1.11988   0.0075911
         227     1.08238     1.11971  0.00755946
         228     1.12184     1.11972  0.00752631
         229     1.13743      1.1198  0.00749384
         230      1.1371     1.11988  0.00746163
         231     1.13795     1.11995  0.00742974
         232     1.13469     1.12002  0.00739799
         233     1.11617        1.12  0.00736626
         234     1.09415     1.11989   0.0073356
         235     1.08072     1.11972  0.00730628
         236     1.06573      1.1195   0.0072789
         237     1.05819     1.11924  0.00725279
         238     1.09378     1.11913   0.0072231
         239     1.14798     1.11925  0.00719389
         240     1.15719     1.11941  0.00716565
         241     1.13198     1.11946  0.00713611
         242     1.11066     1.11942  0.00710671
         243     1.09974     1.11934  0.00707793
         244     1.11634     1.11933  0.00704893
         245     1.15815     1.11949  0.00702194
         246     1.19235     1.11979  0.00699964
         247     1.20138     1.12012  0.00697909
         248     1.18199     1.12037  0.00695541
         249     1.15243     1.12049  0.00692867
         250     1.12147      1.1205  0.00690095
         251     1.07684     1.12032  0.00687565
         252      1.0363     1.11999  0.00685645
         253     1.02937     1.11963  0.00683869
         254     1.02171     1.11925  0.00682263
         255      1.0093     1.11882  0.00680948
         256     1.01714     1.11842  0.00679446
         257     1.03282     1.11809  0.00677618
         258     1.05408     1.11784  0.00675445
         259     1.06368     1.11763  0.00673161
         260     1.05296     1.11738  0.00671031
         261     1.05069     1.11712  0.00668947
         262     1.07066     1.11695  0.00666628
         263     1.10024     1.11688  0.00664124
         264     1.11058     1.11686  0.00661613
         265     1.08752     1.11675  0.00659209
         266      1.0739     1.11659  0.00656927
         267     1.10434     1.11654  0.00654483
         268     1.12828     1.11659  0.00652055
         269     1.13517     1.11665  0.00649668
         270     1.14228     1.11675  0.00647331
         271     1.15893      1.1169   0.0064513
         272     1.15435     1.11704  0.00642905
         273     1.10805     1.11701  0.00640558
         274     1.06771     1.11683  0.00638473
         275     1.05641     1.11661  0.00636529
         276     1.03733     1.11632  0.00634871
         277     1.02006     1.11598  0.00633529
         278      1.0316     1.11567  0.00631977
         279     1.04157     1.11541   0.0063027
         280     1.02403     1.11508  0.00628863
         281    0.997033     1.11466  0.00628027
         282     1.01066     1.11429  0.00626881
         283     1.09018     1.11421  0.00624724
         284     1.16939      1.1144  0.00622827
