#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         146     1.18977     1.08218  0.00593806
         147     1.19383     1.08294  0.00594603
         148     1.19776     1.08372  0.00595625
         149     1.20126     1.08451  0.00596829
         150     1.20339      1.0853  0.00598089
         151     1.20174     1.08607  0.00599079
         152     1.19108     1.08676  0.00599108
         153     1.17012     1.08731  0.00597665
         154     1.16478     1.08781  0.00595898
         155     1.18457     1.08843  0.00595314
         156     1.20044     1.08915  0.00595811
         157     1.20763     1.08991  0.00596777
         158     1.21074     1.09067   0.0059788
         159     1.21088     1.09143  0.00598881
         160     1.20954     1.09217   0.0059967
         161     1.21045      1.0929  0.00600429
         162     1.21562     1.09366  0.00601482
         163     1.22256     1.09445  0.00602968
         164     1.22799     1.09526  0.00604765
         165     1.23008     1.09608  0.00606594
         166     1.22757     1.09687  0.00608089
         167     1.21959     1.09761  0.00608872
         168     1.20702     1.09826  0.00608721
         169      1.1955     1.09883  0.00607832
         170     1.19392     1.09939  0.00606825
         171     1.20534     1.10001  0.00606431
         172     1.22004     1.10071  0.00606907
         173     1.22511     1.10143  0.00607643
         174      1.2198     1.10211  0.00607947
         175     1.21464     1.10275  0.00607864
         176     1.21591      1.1034  0.00607801
         177     1.21893     1.10405  0.00607862
         178     1.21939      1.1047  0.00607892
         179     1.21596     1.10532  0.00607665
         180     1.20819     1.10589  0.00606971
         181     1.19758      1.1064  0.00605727
         182     1.18928     1.10685  0.00604109
         183      1.1873     1.10729  0.00602405
         184     1.18874     1.10773  0.00600755
         185     1.18967     1.10818  0.00599138
         186     1.18992     1.10862  0.00597527
         187      1.1905     1.10905  0.00595934
         188     1.19138     1.10949  0.00594371
         189      1.1914     1.10993  0.00592804
         190     1.18892     1.11034   0.0059114
         191     1.18275     1.11072  0.00589259
         192     1.17447     1.11105  0.00587125
         193     1.17039     1.11136  0.00584887
         194     1.17401     1.11168  0.00582763
         195     1.17991     1.11203  0.00580824
         196     1.18308      1.1124  0.00578991
         197     1.18333     1.11276   0.0057717
         198     1.18211     1.11311  0.00575317
         199     1.18062     1.11344  0.00573425
         200     1.17926     1.11377  0.00571502
         201     1.17766     1.11409  0.00569541
         202     1.17518     1.11439  0.00567524
         203     1.17194     1.11468  0.00565436
         204     1.16935     1.11495  0.00563299
         205     1.16929     1.11521  0.00561175
         206      1.1722     1.11549  0.00559132
         207     1.17693     1.11578  0.00557218
         208     1.18217      1.1161  0.00555453
         209     1.18727     1.11644  0.00553838
         210     1.19151      1.1168  0.00552353
         211     1.19348     1.11716  0.00550929
         212     1.19108     1.11751  0.00549432
         213     1.18223     1.11782  0.00547692
         214     1.16784     1.11805  0.00545632
         215     1.15691     1.11823  0.00543393
         216     1.15964     1.11842  0.00541216
         217     1.17105     1.11867  0.00539265
         218     1.18164     1.11895  0.00537564
         219     1.18971     1.11928  0.00536079
         220     1.19615     1.11963   0.0053478
         221     1.20046     1.11999   0.0053361
         222     1.20204     1.12036  0.00532484
         223      1.2014     1.12073  0.00531335
         224     1.19944     1.12108  0.00530124
         225     1.19621     1.12141  0.00528818
         226     1.19176     1.12172  0.00527394
         227     1.18818     1.12202  0.00525882
         228     1.18731      1.1223  0.00524355
         229     1.18791     1.12259  0.00522847
         230     1.19083     1.12288  0.00521415
         231     1.19592      1.1232  0.00520116
         232     1.19786     1.12352  0.00518869
         233     1.19412     1.12383  0.00517526
         234     1.18802      1.1241  0.00516041
         235     1.18567     1.12436  0.00514509
         236     1.18891     1.12464  0.00513056
         237     1.19408     1.12493  0.00511727
         238     1.19794     1.12524  0.00510495
         239     1.19799     1.12554  0.00509266
         240     1.19199     1.12582  0.00507896
         241     1.18218     1.12605  0.00506327
         242     1.17515     1.12625  0.00504641
         243     1.17238     1.12644  0.00502921
         244     1.17541     1.12664   0.0050126
         245     1.18668     1.12689  0.00499813
         246      1.1979     1.12718  0.00498614
         247     1.20521     1.12749  0.00497595
         248     1.21068     1.12783  0.00496718
         249     1.21472     1.12818  0.00495947
         250     1.21646     1.12853  0.00495219
         251      1.2154     1.12888  0.00494454
         252     1.21168     1.12921  0.00493582
         253     1.20631     1.12951  0.00492572
         254     1.20124     1.12979  0.00491441
         255     1.19826     1.13006  0.00490247
         256     1.19725     1.13032  0.00489034
         257     1.19702     1.13058  0.00487819
         258     1.19866     1.13085  0.00486641
         259     1.20335     1.13113  0.00485567
         260     1.20804     1.13142    0.004846
         261     1.20997     1.13172  0.00483676
         262     1.20884     1.13202  0.00482725
         263     1.20473     1.13229  0.00481681
         264     1.19934     1.13255  0.00480525
         265     1.19613     1.13279   0.0047931
         266     1.19722     1.13303   0.0047812
         267     1.20385      1.1333  0.00477065
         268     1.21461      1.1336  0.00476248
         269     1.22449     1.13394  0.00475675
         270     1.23005     1.13429  0.00475243
         271      1.2309     1.13465  0.00474825
         272     1.22757     1.13499  0.00474306
         273     1.22046      1.1353  0.00473601
         274     1.21112     1.13558   0.0047268
         275      1.2041     1.13583  0.00471618
         276      1.2037     1.13608   0.0047055
         277     1.20792     1.13634  0.00469565
         278     1.21204     1.13661  0.00468665
         279     1.21392     1.13689  0.00467804
         280     1.21356     1.13716  0.00466934
         281     1.21172     1.13742  0.00466025
         282     1.20962     1.13768  0.00465076
         283     1.20788     1.13793  0.00464093
         284     1.20518     1.13817  0.00463063
         285     1.20085     1.13839   0.0046196
         286     1.19823     1.13859  0.00460819
         287     1.20016     1.13881  0.00459712
         288     1.20448     1.13904  0.00458681
         289     1.20764     1.13927  0.00457708
         290     1.20758     1.13951  0.00456735
         291     1.20442     1.13973   0.0045571
         292      1.1999     1.13994  0.00454615
         293     1.19631     1.14013   0.0045347
         294     1.19577     1.14032  0.00452322
         295     1.19887     1.14052  0.00451224
         296      1.2036     1.14073  0.00450203
         297     1.20712     1.14096  0.00449242
         298     1.20774     1.14118  0.00448293
         299     1.20474     1.14139  0.00447297
         300     1.19892     1.14158  0.00446217
         301     1.19379     1.14176  0.00445071
         302     1.19221     1.14192  0.00443911
         303     1.19275     1.14209  0.00442763
         304     1.19356     1.14226   0.0044163
         305     1.19295     1.14243  0.00440495
         306     1.18885     1.14258  0.00439316
         307     1.18129     1.14271  0.00438066
         308     1.17647     1.14282  0.00436781
         309     1.18363     1.14295  0.00435567
         310     1.19641     1.14312  0.00434503
         311     1.20411     1.14332  0.00433549
         312     1.20545     1.14352  0.00432616
         313     1.20159      1.1437  0.00431632
         314      1.1949     1.14386  0.00430565
         315     1.19179     1.14402  0.00429467
         316     1.19484     1.14418  0.00428409
         317     1.19852     1.14435    0.004274
         318     1.19972     1.14452  0.00426411
         319      1.1989     1.14469  0.00425415
         320     1.19466     1.14485  0.00424372
         321     1.18393     1.14497  0.00423224
         322     1.16761     1.14504  0.00421968
         323     1.15763     1.14508   0.0042068
         324     1.16504     1.14514  0.00419426
         325     1.18014     1.14525  0.00418274
         326     1.19249     1.14539  0.00417242
         327     1.20076     1.14556   0.0041631
         328     1.20565     1.14575  0.00415443
         329     1.20765     1.14593  0.00414606
         330     1.20718     1.14612  0.00413765
         331     1.20458      1.1463  0.00412892
         332     1.20011     1.14646  0.00411966
         333      1.1938      1.1466  0.00410974
         334     1.18633     1.14672  0.00409916
         335     1.18071     1.14682  0.00408818
         336     1.18099     1.14692  0.00407727
         337     1.18678     1.14704  0.00406689
         338     1.19327     1.14718  0.00405716
         339     1.19547     1.14732  0.00404769
         340     1.19082     1.14745  0.00403781
         341     1.18431     1.14756  0.00402741
         342     1.18632     1.14767  0.00401723
         343     1.19465     1.14781  0.00400785
         344     1.20146     1.14796  0.00399924
         345     1.20618     1.14813   0.0039912
         346     1.20902     1.14831  0.00398355
         347     1.20722     1.14848  0.00397568
         348     1.19796     1.14862   0.0039668
         349     1.18458     1.14872  0.00395677
         350     1.17959     1.14881  0.00394645
         351     1.18853     1.14892  0.00393683
         352     1.20044     1.14907  0.00392836
         353     1.20573     1.14923  0.00392051
         354     1.20523     1.14939  0.00391263
         355      1.2037     1.14954   0.0039046
         356      1.2018     1.14969  0.00389639
         357     1.20199     1.14984  0.00388822
         358      1.2047     1.14999  0.00388038
         359      1.2062     1.15015  0.00387273
         360     1.20551      1.1503  0.00386503
         361     1.20344     1.15045  0.00385712
         362     1.20247     1.15059  0.00384914
         363     1.20765     1.15075  0.00384175
         364       1.219     1.15093  0.00383577
         365     1.22951     1.15115  0.00383129
         366     1.23279     1.15137  0.00382731
         367     1.22393     1.15157  0.00382199
         368     1.19865      1.1517  0.00381374
         369     1.17219     1.15175  0.00380381
         370     1.18137     1.15183  0.00379437
         371     1.20217     1.15197  0.00378657
         372     1.20497     1.15211  0.00377907
         373     1.19593     1.15223  0.00377076
         374     1.18312     1.15231  0.00376159
         375     1.17177     1.15236  0.00375191
         376     1.17534     1.15243  0.00374243
         377     1.19285     1.15253  0.00373404
         378     1.20397     1.15267  0.00372664
         379     1.20193      1.1528  0.00371907
         380     1.18984      1.1529  0.00371056
         381     1.17623     1.15296  0.00370133
         382     1.17269     1.15301    0.003692
         383     1.17848     1.15308  0.00368296
         384     1.18432     1.15316  0.00367427
         385     1.18605     1.15324  0.00366572
         386     1.18243     1.15332    0.003657
         387     1.17383     1.15337  0.00364794
         388     1.16471      1.1534  0.00363865
         389     1.16104     1.15342  0.00362935
         390     1.16172     1.15344  0.00362011
         391     1.16207     1.15346  0.00361091
         392     1.16138     1.15348  0.00360176
         393     1.16114      1.1535  0.00359265
         394     1.16197     1.15352  0.00358359
         395     1.16329     1.15355  0.00357461
         396      1.1641     1.15358  0.00356568
         397     1.16361      1.1536  0.00355679
         398     1.16161     1.15362  0.00354791
         399     1.15868     1.15363  0.00353904
         400     1.15561     1.15364  0.00353019
         401     1.15261     1.15364  0.00352139
         402     1.14965     1.15363  0.00351264
         403     1.14716     1.15361  0.00350397
         404     1.14579     1.15359  0.00349535
         405     1.14518     1.15357  0.00348678
         406     1.14375     1.15355  0.00347827
         407     1.14208     1.15352  0.00346984
         408     1.14427      1.1535  0.00346141
         409     1.15094     1.15349  0.00345295
         410     1.15612      1.1535  0.00344454
         411     1.15396      1.1535  0.00343616
         412     1.14049     1.15346  0.00342796
         413     1.12355     1.15339  0.00342043
         414     1.13644     1.15335  0.00341241
         415     1.16161     1.15337  0.00340424
         416     1.17155     1.15341  0.00339634
         417     1.17313     1.15346  0.00338853
         418     1.17404     1.15351  0.00338078
         419     1.17537     1.15356  0.00337311
         420     1.17661     1.15362  0.00336553
         421     1.17753     1.15368  0.00335801
         422     1.17546     1.15373  0.00335045
         423     1.16641     1.15376  0.00334266
         424     1.15352     1.15376  0.00333478
         425     1.15091     1.15375  0.00332694
         426     1.16192     1.15377  0.00331919
         427     1.17265     1.15381  0.00331171
         428      1.1771     1.15387  0.00330442
         429     1.17595     1.15392  0.00329712
         430     1.16866     1.15395  0.00328963
         431     1.15831     1.15396  0.00328201
         432     1.15532     1.15397  0.00327441
         433     1.16168     1.15398   0.0032669
         434     1.16652     1.15401   0.0032595
         435     1.16432     1.15404  0.00325209
         436     1.15854     1.15405  0.00324465
         437     1.15527     1.15405  0.00323723
         438     1.15527     1.15405  0.00322984
         439     1.15541     1.15406  0.00322248
         440     1.15422     1.15406  0.00321516
         441     1.15217     1.15405  0.00320787
         442     1.15096     1.15405  0.00320062
         443      1.1515     1.15404   0.0031934
         444     1.15224     1.15404  0.00318621
         445     1.15145     1.15403  0.00317906
         446     1.14926     1.15402  0.00317195
         447     1.14693       1.154  0.00316489
         448      1.1457     1.15398  0.00315788
         449     1.14579     1.15397   0.0031509
         450     1.14626     1.15395  0.00314394
         451      1.1464     1.15393  0.00313702
         452     1.14688     1.15392  0.00313011
         453     1.14756      1.1539  0.00312324
         454     1.14578     1.15388  0.00311641
         455     1.13902     1.15385  0.00310973
         456     1.12882      1.1538   0.0031034
         457     1.12379     1.15373   0.0030973
         458     1.12931     1.15368    0.003091
         459      1.1374     1.15364  0.00308446
         460      1.1431     1.15362  0.00307784
         461     1.14834     1.15361  0.00307119
         462     1.15366     1.15361  0.00306454
         463     1.15617     1.15361  0.00305793
         464     1.15267     1.15361  0.00305134
         465     1.14372     1.15359  0.00304485
         466     1.13787     1.15356   0.0030385
         467     1.14298     1.15353  0.00303208
         468     1.15179     1.15353   0.0030256
         469     1.15583     1.15354  0.00301916
         470     1.15482     1.15354  0.00301274
         471     1.15125     1.15353  0.00300634
         472     1.14748     1.15352       0.003
         473     1.14523      1.1535  0.00299371
         474     1.14563     1.15349  0.00298744
         475     1.14932     1.15348  0.00298116
         476     1.15551     1.15348   0.0029749
         477     1.16136      1.1535  0.00296871
         478     1.16393     1.15352  0.00296258
         479     1.16236     1.15354  0.00295645
         480     1.15895     1.15355  0.00295032
         481     1.15812     1.15356   0.0029442
         482     1.16092     1.15357  0.00293813
         483     1.16352      1.1536  0.00293212
         484     1.16248     1.15361  0.00292612
         485     1.15855     1.15362   0.0029201
         486     1.15767     1.15363  0.00291411
         487     1.16385     1.15365   0.0029082
         488     1.17151     1.15369  0.00290247
         489     1.17319     1.15373  0.00289681
         490     1.16839     1.15376  0.00289105
         491     1.16512     1.15378  0.00288525
         492     1.17084     1.15382   0.0028796
         493     1.18106     1.15387  0.00287429
         494     1.18729     1.15394  0.00286927
         495     1.18734     1.15401  0.00286426
         496     1.18417     1.15407  0.00285913
         497     1.18256     1.15413  0.00285395
         498     1.18436     1.15419  0.00284887
         499     1.18571     1.15425  0.00284386
         500     1.18031      1.1543  0.00283865
         501      1.1674     1.15433   0.0028331
         502     1.16211     1.15434   0.0028275
         503     1.16847     1.15437  0.00282202
         504     1.16914      1.1544  0.00281657
         505      1.1607     1.15441  0.00281102
         506      1.1545     1.15441  0.00280547
         507     1.15972     1.15442  0.00279996
         508     1.17094     1.15446  0.00279463
         509     1.17998     1.15451  0.00278959
         510     1.18315     1.15456  0.00278469
         511      1.1805     1.15461   0.0027797
         512     1.17583     1.15466  0.00277458
         513     1.17415     1.15469  0.00276943
         514      1.1756     1.15473  0.00276434
         515     1.17653     1.15478   0.0027593
         516     1.17496     1.15482  0.00275423
         517     1.17161     1.15485  0.00274909
         518     1.16951     1.15488  0.00274393
         519     1.17154     1.15491  0.00273883
         520     1.17681     1.15495  0.00273389
         521     1.18245       1.155  0.00272915
         522     1.18713     1.15506  0.00272462
         523     1.19101     1.15513  0.00272027
         524     1.19439     1.15521  0.00271611
         525     1.19723     1.15529  0.00271212
         526     1.19912     1.15537  0.00270824
         527      1.1995     1.15546   0.0027044
         528       1.198     1.15554  0.00270048
         529     1.19477     1.15561  0.00269639
         530     1.19033     1.15568   0.0026921
         531     1.18498     1.15573  0.00268759
         532     1.18065     1.15578  0.00268295
         533      1.1817     1.15583  0.00267836
         534     1.18759     1.15589    0.002674
         535     1.19347     1.15596  0.00266993
         536     1.19796     1.15603   0.0026661
         537     1.20179     1.15612  0.00266249
         538     1.20432     1.15621  0.00265905
         539     1.20396      1.1563  0.00265559
         540      1.1995     1.15638  0.00265188
         541     1.19167     1.15644  0.00264778
         542      1.1849      1.1565  0.00264341
         543     1.18461     1.15655  0.00263905
         544     1.19078     1.15661  0.00263495
         545     1.19896     1.15669  0.00263126
         546     1.20748     1.15678  0.00262809
         547     1.21694     1.15689  0.00262558
         548     1.22283     1.15701  0.00262355
         549     1.21778     1.15712   0.0026211
         550      1.2031     1.15721  0.00261767
         551      1.1934     1.15727  0.00261374
         552     1.19385     1.15734  0.00260985
         553     1.19177      1.1574  0.00260587
         554     1.18909     1.15746   0.0026018
         555     1.19267     1.15752  0.00259788
         556     1.19853     1.15759  0.00259426
         557     1.20234     1.15767  0.00259084
         558     1.20335     1.15776  0.00258749
         559     1.20242     1.15784   0.0025841
         560     1.20078     1.15791  0.00258062
         561     1.19935     1.15799  0.00257708
         562     1.19844     1.15806   0.0025735
         563     1.19741     1.15813  0.00256987
         564     1.19475     1.15819  0.00256614
         565     1.18899     1.15825  0.00256217
         566     1.18102     1.15829  0.00255796
         567     1.17775     1.15832  0.00255368
         568     1.18435     1.15837   0.0025496
         569     1.19388     1.15843  0.00254588
         570      1.1999      1.1585  0.00254245
         571     1.20263     1.15858  0.00253917
         572     1.20345     1.15866  0.00253595
         573     1.20175     1.15873  0.00253264
         574     1.19484      1.1588    0.002529
         575      1.1808     1.15884   0.0025249
         576     1.16387     1.15884  0.00252053
         577     1.15702     1.15884  0.00251616
         578     1.16678     1.15885  0.00251184
         579     1.17495     1.15888  0.00250766
         580     1.17275     1.15891  0.00250345
         581       1.167     1.15892  0.00249918
         582     1.16419     1.15893   0.0024949
         583      1.1658     1.15894  0.00249065
         584     1.17035     1.15896  0.00248646
         585     1.17673     1.15899   0.0024824
         586     1.18432     1.15903  0.00247854
         587     1.19023     1.15909  0.00247489
         588     1.18945     1.15914  0.00247122
         589     1.18448     1.15918  0.00246739
         590     1.18709     1.15923  0.00246367
         591     1.19481     1.15929  0.00246023
         592     1.19644     1.15935  0.00245688
         593      1.1916     1.15941  0.00245334
         594     1.18599     1.15945  0.00244961
         595     1.18406     1.15949  0.00244585
         596     1.18594     1.15954  0.00244214
         597     1.18912     1.15959  0.00243856
         598     1.19166     1.15964  0.00243507
         599     1.19268      1.1597  0.00243163
         600     1.19042     1.15975  0.00242811
         601     1.18302     1.15979  0.00242438
         602     1.17255     1.15981  0.00242045
         603      1.1673     1.15982  0.00241647
         604     1.17444     1.15984  0.00241259
         605     1.18916     1.15989  0.00240909
         606     1.20162     1.15996  0.00240609
         607     1.20792     1.16004  0.00240343
         608     1.20901     1.16012  0.00240082
         609     1.20707      1.1602  0.00239812
         610     1.20375     1.16027  0.00239525
         611     1.20001     1.16033  0.00239221
         612     1.19656     1.16039  0.00238904
         613     1.19364     1.16045  0.00238575
         614      1.1913      1.1605   0.0023824
         615     1.19061     1.16055  0.00237903
         616     1.19288      1.1606  0.00237574
         617     1.19758     1.16066  0.00237265
         618     1.20197     1.16073  0.00236975
         619     1.20204     1.16079  0.00236686
         620     1.19557     1.16085  0.00236371
         621     1.18733     1.16089  0.00236029
         622      1.1844     1.16093   0.0023568
         623      1.1833     1.16097  0.00235329
         624     1.18062       1.161  0.00234973
         625     1.18554     1.16104   0.0023463
         626      1.2008      1.1611  0.00234341
         627     1.21505     1.16119  0.00234125
         628     1.22266     1.16128  0.00233957
         629     1.22537     1.16139  0.00233807
         630     1.22606     1.16149  0.00233661
         631     1.22554     1.16159  0.00233511
         632     1.22205     1.16169  0.00233337
         633     1.21494     1.16177   0.0023312
         634     1.20688     1.16184  0.00232861
         635     1.20367     1.16191  0.00232587
         636     1.20857     1.16198  0.00232337
         637     1.21234     1.16206  0.00232107
         638     1.21051     1.16213  0.00231868
         639     1.20369      1.1622  0.00231596
         640      1.1978     1.16226  0.00231301
         641     1.20035     1.16231  0.00231016
         642     1.20124     1.16238  0.00230736
         643     1.20048     1.16243  0.00230453
         644     1.19818     1.16249  0.00230162
         645     1.19445     1.16254  0.00229859
         646     1.19581     1.16259  0.00229561
         647     1.20379     1.16265  0.00229294
         648     1.21373     1.16273  0.00229076
         649     1.22176     1.16282  0.00228903
         650     1.22697     1.16292  0.00228764
         651     1.22951     1.16303  0.00228641
         652     1.22947     1.16313  0.00228517
         653     1.22757     1.16323   0.0022838
         654     1.22574     1.16332  0.00228231
         655     1.22589     1.16342  0.00228082
         656     1.22763     1.16352  0.00227944
         657     1.22857     1.16361  0.00227812
         658     1.22672     1.16371  0.00227668
         659     1.22228      1.1638  0.00227496
         660     1.21785     1.16388  0.00227299
         661     1.21539     1.16396  0.00227088
         662     1.21259     1.16403  0.00226864
         663     1.20581      1.1641  0.00226609
         664     1.19717     1.16415  0.00226323
         665     1.19345     1.16419  0.00226025
         666     1.19626     1.16424  0.00225737
         667     1.20419      1.1643  0.00225478
         668     1.21487     1.16437  0.00225268
         669     1.22371     1.16446  0.00225106
         670     1.22782     1.16456  0.00224968
         671      1.2279     1.16465  0.00224831
         672     1.22658     1.16474  0.00224685
         673     1.22544     1.16483  0.00224532
         674     1.22253     1.16492  0.00224362
         675     1.21275     1.16499  0.00224142
         676     1.19763     1.16504  0.00223862
         677     1.19577     1.16508  0.00223577
         678     1.20862     1.16515   0.0022334
         679     1.21699     1.16522  0.00223141
         680     1.21656      1.1653  0.00222941
         681     1.21041     1.16537  0.00222712
         682     1.20095     1.16542  0.00222446
         683      1.1906     1.16545  0.00222151
         684     1.18296     1.16548  0.00221841
         685     1.17891      1.1655  0.00221526
         686      1.1754     1.16551  0.00221208
         687      1.1742     1.16553  0.00220889
         688     1.17796     1.16554  0.00220576
         689      1.1821     1.16557  0.00220269
         690     1.18309     1.16559  0.00219964
         691     1.18178     1.16562  0.00219658
         692     1.18016     1.16564  0.00219351
         693     1.17934     1.16566  0.00219043
         694      1.1789     1.16568  0.00218736
         695     1.17733     1.16569  0.00218428
         696     1.17358     1.16571  0.00218117
         697     1.16876     1.16571  0.00217804
         698     1.16633     1.16571  0.00217492
         699     1.16858     1.16571  0.00217181
         700       1.173     1.16573  0.00216874
         701     1.17458     1.16574  0.00216568
         702     1.17149     1.16575  0.00216261
         703     1.16806     1.16575  0.00215954
         704     1.16915     1.16575  0.00215647
         705     1.17099     1.16576  0.00215343
         706      1.1671     1.16576  0.00215038
         707     1.15752     1.16575  0.00214737
         708     1.15013     1.16573  0.00214445
         709     1.15205     1.16571  0.00214151
         710      1.1615      1.1657   0.0021385
         711     1.17309     1.16571  0.00213552
         712     1.18193     1.16574  0.00213264
         713     1.18521     1.16577  0.00212983
         714     1.18277     1.16579  0.00212698
         715     1.17786     1.16581  0.00212407
         716     1.17729     1.16582  0.00212116
         717      1.1823     1.16584  0.00211833
         718     1.18344     1.16587  0.00211552
         719     1.17646     1.16588  0.00211263
         720     1.17802      1.1659  0.00210976
         721     1.19421     1.16594   0.0021072
