#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.62924     1.62924           0
           2     1.74076       1.685   0.0394267
           3     1.65593     1.67531   0.0274493
           4     1.70421     1.68253   0.0215172
           5     1.70389     1.68681   0.0176327
           6     1.67324     1.68455   0.0148382
           7     1.72405     1.69019   0.0137498
           8     1.61891     1.68128   0.0146361
           9     1.58474     1.67055   0.0164783
          10     1.71803      1.6753   0.0154994
          11     1.66437     1.67431   0.0141222
          12     1.65581     1.67276   0.0130292
          13     1.72732     1.67696   0.0126847
          14     1.67342     1.67671   0.0117811
          15       1.716     1.67933   0.0112831
          16      1.6324     1.67639   0.0109525
          17      1.7132     1.67856     0.01052
          18     1.67641     1.67844  0.00993623
          19     1.71034     1.68012  0.00955404
          20     1.64311     1.67827  0.00925384
          21     1.66069     1.67743  0.00885094
          22     1.67233      1.6772  0.00845166
          23     1.68814     1.67767  0.00809757
          24     1.68227     1.67787  0.00776243
          25     1.62632      1.6758  0.00772091
          26     1.63628     1.67428  0.00757212
          27     1.70671     1.67548  0.00738628
          28     1.63651     1.67409  0.00725248
          29     1.60717     1.67179   0.0073604
          30     1.68814     1.67233  0.00713522
