#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.233076    0.233076           0
           2    0.238236    0.235656  0.00182449
           3    0.231575    0.234296  0.00164724
           4    0.232064    0.233738  0.00132651
           5    0.232281    0.233446  0.00109274
           6    0.226545    0.232296  0.00138982
           7     0.22462      0.2312  0.00156522
           8     0.22564    0.230505  0.00151603
           9    0.227538    0.230175  0.00138295
          10     0.22326    0.229484  0.00140694
          11    0.223089    0.228902  0.00139396
          12    0.234714    0.229387  0.00135933
          13    0.238793     0.23011  0.00143447
          14    0.219725    0.229368  0.00151169
          15    0.228281    0.229296  0.00141265
          16    0.239474    0.229932  0.00146059
          17    0.231546    0.230027  0.00137775
          18    0.234878    0.230296  0.00132731
          19     0.22971    0.230265  0.00125781
          20    0.230157     0.23026  0.00119493
          21    0.232385    0.230361   0.0011423
          22     0.22589    0.230158  0.00110831
          23    0.232129    0.230244  0.00106343
          24    0.233029     0.23036  0.00102543
          25     0.22948    0.230325 0.000985019
          26    0.231309    0.230362  0.00094786
          27    0.232502    0.230442  0.00091606
          28    0.222939    0.230174 0.000921697
          29    0.226284     0.23004 0.000899621
          30    0.236415    0.230252  0.00089438
