#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.045848    0.045848           0
           2    0.031724    0.038786  0.00499359
           3    0.026396    0.034656  0.00473855
           4    0.042152     0.03653  0.00390695
           5    0.050436   0.0393112  0.00399464
           6    0.025376   0.0369887  0.00394671
           7    0.022184   0.0348737  0.00390871
           8    0.046292    0.036301  0.00367147
           9    0.032172   0.0358422  0.00329207
          10     0.03734    0.035992  0.00296627
          11    0.022112   0.0347302  0.00295282
          12    0.028112   0.0341787  0.00275777
          13    0.034616   0.0342123  0.00254584
          14    0.030768   0.0339663  0.00237585
          15     0.05224   0.0351845  0.00251044
          16    0.026432   0.0346375  0.00241241
          17    0.041136   0.0350198  0.00230059
          18    0.041136   0.0353596  0.00219773
          19     0.03498   0.0353396  0.00208215
          20    0.039356   0.0355404   0.0019877
          21    0.021376   0.0348659  0.00200422
          22    0.037208   0.0349724  0.00191595
          23     0.03424   0.0349405  0.00183291
          24    0.028108   0.0346558  0.00177851
          25    0.041044   0.0349114  0.00172563
          26    0.039596   0.0350915  0.00166864
          27     0.03258   0.0349985  0.00160943
          28    0.040208   0.0351846  0.00156266
          29     0.03128   0.0350499  0.00151457
          30    0.027144   0.0347864  0.00148683
