#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.405362    0.405362           0
           2    0.398013    0.401688  0.00259812
           3    0.395062    0.399479  0.00250044
           4    0.406228    0.401166  0.00237744
           5    0.395368    0.400007  0.00216639
           6    0.391447     0.39858  0.00222604
           7    0.399328    0.398687   0.0019106
           8    0.390437    0.397656  0.00193012
           9    0.395683    0.397437  0.00172807
          10    0.394372     0.39713  0.00158221
          11    0.406652    0.397996  0.00165836
          12    0.409944    0.398991  0.00179435
          13    0.389585    0.398268   0.0017963
          14    0.394802     0.39802  0.00168497
          15    0.387609    0.397326  0.00170963
          16    0.397432    0.397333  0.00160279
          17    0.387179    0.396735  0.00161597
          18    0.411809    0.397573  0.00172962
          19    0.386803    0.397006  0.00172898
          20    0.403248    0.397318  0.00167046
          21    0.379921     0.39649  0.00178456
          22    0.382708    0.395863  0.00181006
          23    0.397272    0.395925   0.0017324
          24    0.383887    0.395423  0.00173131
          25    0.385274    0.395017  0.00170898
          26    0.401758    0.395276   0.0016628
          27    0.398322    0.395389  0.00160504
          28    0.402295    0.395636  0.00156655
          29    0.392934    0.395543   0.0015153
          30    0.386639    0.395246  0.00149357
