#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.131936    0.131936           0
           2     0.10762    0.119778    0.008597
           3    0.111276    0.116944  0.00618082
           4    0.130856    0.120422  0.00552823
           5    0.157392    0.127816  0.00795589
           6     0.11562    0.125783  0.00688468
           7    0.066644    0.117335  0.00979815
           8    0.094472    0.114477  0.00898049
           9    0.111632    0.114161  0.00798822
          10    0.076004    0.110345  0.00804929
          11    0.112208    0.110515  0.00731931
          12    0.104756    0.110035  0.00672508
          13    0.112496    0.110224  0.00621043
          14    0.105336    0.109875  0.00577664
          15     0.15844    0.113113  0.00623316
          16    0.127236    0.113995  0.00590576
          17    0.106924    0.113579  0.00557299
          18    0.108332    0.113288    0.005271
          19    0.109144     0.11307  0.00499809
          20    0.112352    0.113034  0.00474831
          21     0.10684    0.112739  0.00453135
          22    0.094492    0.111909  0.00440063
          23    0.119172    0.112225  0.00422062
          24    0.131648    0.113035  0.00412161
          25     0.10338    0.112648   0.0039748
          26    0.134332    0.113482  0.00390844
          27    0.133696    0.114231  0.00383471
          28    0.117812    0.114359  0.00369989
          29     0.09952    0.113847  0.00360752
          30    0.091304    0.113096  0.00356467
