#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     6.06808     6.06808           0
           2     5.43728     5.75268    0.223021
           3     5.96281     5.82272    0.159301
           4     5.81719     5.82134    0.119481
           5     5.72155     5.80138   0.0972377
           6     6.32175     5.88811    0.113289
           7     5.63671     5.85219     0.10264
           8     5.40428      5.7962    0.103965
           9     5.34007     5.74552    0.104036
          10      5.5038     5.72135   0.0963998
          11     5.59277     5.70966    0.088342
          12      5.9854     5.73264   0.0839153
          13     5.40023     5.70707   0.0812626
          14      5.4867     5.69133   0.0769676
          15     5.26762     5.66308   0.0768451
          16     5.41685     5.64769   0.0735671
          17     5.48647     5.63821   0.0698483
          18     5.74647     5.64422   0.0662263
          19     5.27483     5.62478   0.0655323
          20     4.99276     5.59318   0.0694585
          21     5.35299     5.58174    0.067086
          22     5.55687     5.58061   0.0640462
          23      5.5669     5.58002   0.0612644
          24     5.49346     5.57641   0.0588177
          25     5.56375      5.5759   0.0564672
          26     5.14334     5.55927   0.0566933
          27     5.42668     5.55436   0.0548058
          28     5.77292     5.56216   0.0534015
          29      5.3798     5.55587    0.051929
          30     5.38689     5.55024   0.0505026
