#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.95704     0.95704           0
           2    0.912268    0.934654   0.0158293
           3    0.922592    0.930633   0.0110517
           4    0.906488    0.924597  0.00979958
           5     0.87414    0.914506   0.0119553
           6     0.77078    0.890551   0.0240298
           7    0.775288    0.874085   0.0256249
           8    0.937424    0.882003   0.0236132
           9    0.776652    0.870297   0.0237141
          10    0.892504    0.872518   0.0214464
          11     0.95172    0.879718   0.0206701
          12    0.757012    0.869492   0.0213274
          13    0.813048     0.86515   0.0201239
          14    0.907852    0.868201   0.0189163
          15    0.836284    0.866073   0.0177744
          16    0.956612    0.871732   0.0175412
          17    0.957884    0.876799   0.0172259
          18    0.886912    0.877361    0.016278
          19     0.92364    0.879797   0.0156025
          20    0.883064     0.87996   0.0148232
          21     0.91022    0.881401   0.0141872
          22    0.886224     0.88162    0.013544
          23    0.925112    0.883511   0.0130865
          24    0.930972    0.885489   0.0126897
          25    0.902968    0.886188   0.0122014
          26     0.89958    0.886703    0.011743
          27    0.957808    0.889337   0.0115996
          28    0.919156    0.890402   0.0112341
          29    0.794136    0.887082   0.0113265
          30      0.9511    0.889216   0.0111482
