#     BLOCK:   ACCEPTANCE:
           1    0.011846
           2    0.013512
           3    0.013862
           4   0.0138965
           5    0.014886
           6   0.0150883
           7   0.0150649
           8   0.0146803
           9   0.0148064
          10   0.0151086
          11    0.014588
          12   0.0147705
          13   0.0148211
          14    0.015011
          15   0.0156183
          16   0.0152949
          17   0.0149933
          18    0.014869
          19   0.0148106
          20   0.0148725
          21   0.0148593
          22   0.0147685
          23    0.014714
          24   0.0146718
          25   0.0146719
          26   0.0147408
          27   0.0145436
          28   0.0145456
          29   0.0146674
          30   0.0145374
