#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.386336    0.386336           0
           2    0.255621    0.320979   0.0462148
           3    0.320855    0.320938   0.0308099
           4    0.329091    0.322976   0.0231747
           5    0.352164    0.328814    0.019261
           6     0.38336    0.337905   0.0180694
           7    0.366114    0.341935   0.0159311
           8    0.327878    0.340177   0.0140363
           9    0.302481    0.335989   0.0130867
          10    0.342129    0.336603   0.0117924
          11    0.322557    0.335326   0.0107893
          12    0.356289    0.337073   0.0100306
          13    0.350253    0.338087  0.00931012
          14     0.38478    0.341422  0.00922318
          15    0.302796    0.338847  0.00896056
          16    0.319739    0.337653  0.00847973
          17    0.372129    0.339681  0.00821986
          18    0.278208    0.336266  0.00844291
          19    0.292375    0.333956  0.00830855
          20    0.276344    0.331075  0.00837761
          21    0.289976    0.329118  0.00820409
          22     0.28184    0.326969  0.00810774
          23    0.288819     0.32531  0.00792309
          24    0.358348    0.326687  0.00771161
          25    0.343239    0.327349  0.00743151
          26    0.338274    0.327769  0.00715756
          27    0.275057    0.325817  0.00715377
          28    0.379207    0.327724  0.00714788
          29    0.373465    0.329301  0.00707329
          30    0.213257    0.325433  0.00782401
