#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     70.6724     70.6724           0
           2     86.2397      78.456     5.50386
           3     81.6965     79.5362     3.77375
           4     76.7358     78.8361     2.89452
           5     75.3085     78.1306     2.40006
           6     74.9988     77.6086     2.05602
           7     72.0498     76.8145     1.90952
           8     79.6407     77.1678     1.70319
           9     82.8254     77.7964     1.62583
          10     77.4174     77.7585     1.46369
          11     76.3777      77.633       1.336
          12     77.7076     77.6392     1.22468
          13     77.4326     77.6233     1.13057
          14     69.0779     77.0129     1.20336
          15     81.7539      77.329     1.16391
          16      80.384     77.5199     1.10671
          17      76.822     77.4789     1.04237
          18     85.0286     77.8983     1.06551
          19     81.3276     78.0788      1.0246
          20     85.0987     78.4298     1.03174
          21     84.2496     78.7069     1.01916
          22     83.3358     78.9173    0.994311
          23     84.8599     79.1757    0.984078
          24     73.1074     78.9228    0.975016
          25     76.6004     78.8299    0.940431
          26      78.375     78.8125    0.904423
          27     81.1987     78.9008    0.875233
          28     68.9174     78.5443    0.913719
          29     78.8622     78.5552    0.882278
          30      88.997     78.9033    0.918962
